"","V1","V2","V3","V4"
"result.1",1,60,20,98
"result.2",2,108,29,98
"result.3",3,97,31,100
"result.4",4,64,27,100
"result.5",5,32,14,98
"result.6",6,24,19,95
"result.7",7,87,22,96
"result.8",8,38,20,100
"result.9",9,82,31,99
"result.10",10,86,16,100
"result.11",11,62,19,98
"result.12",12,48,17,100
"result.13",13,48,19,99
"result.14",14,50,21,99
"result.15",15,74,16,99
"result.16",16,65,22,100
"result.17",17,48,21,100
"result.18",18,44,28,100
"result.19",19,103,31,100
"result.20",20,32,15,99
"result.21",21,58,24,98
"result.22",22,47,20,100
"result.23",23,83,21,100
"result.24",24,86,30,100
"result.25",25,38,14,100
"result.26",26,39,21,99
"result.27",27,89,24,98
"result.28",28,77,33,100
"result.29",29,38,17,98
"result.30",30,28,14,99
"result.31",31,94,30,100
"result.32",32,32,18,99
"result.33",33,73,28,100
"result.34",34,36,16,100
"result.35",35,107,24,100
"result.36",36,46,21,100
"result.37",37,41,22,100
"result.38",38,46,14,99
"result.39",39,51,16,90
"result.40",40,78,20,100
"result.41",41,136,17,100
"result.42",42,44,23,99
"result.43",43,60,22,96
"result.44",44,92,31,100
"result.45",45,55,28,100
"result.46",46,51,18,97
"result.47",47,109,22,100
"result.48",48,62,20,100
"result.49",49,42,14,98
"result.50",50,84,32,100
"result.51",51,50,29,95
"result.52",52,77,24,98
"result.53",53,45,26,99
"result.54",54,121,27,99
"result.55",55,61,21,100
"result.56",56,81,24,100
"result.57",57,44,24,100
"result.58",58,73,20,98
"result.59",59,36,16,100
"result.60",60,90,21,99
"result.61",61,48,16,100
"result.62",62,109,26,98
"result.63",63,34,15,100
"result.64",64,78,15,99
"result.65",65,37,17,99
"result.66",66,33,20,97
"result.67",67,64,25,98
"result.68",68,94,23,100
"result.69",69,73,20,99
"result.70",70,46,19,100
"result.71",71,46,22,97
"result.72",72,31,19,98
"result.73",73,117,25,100
"result.74",74,28,13,100
"result.75",75,53,18,100
"result.76",76,90,21,99
"result.77",77,58,22,100
"result.78",78,64,24,100
"result.79",79,52,22,100
"result.80",80,47,22,99
"result.81",81,47,19,100
"result.82",82,79,21,99
"result.83",83,65,21,100
"result.84",84,81,26,100
"result.85",85,47,20,98
"result.86",86,67,24,92
"result.87",87,50,21,100
"result.88",88,72,25,98
"result.89",89,51,16,100
"result.90",90,56,18,99
"result.91",91,59,24,100
"result.92",92,66,18,100
"result.93",93,66,21,100
"result.94",94,50,20,100
"result.95",95,53,13,97
"result.96",96,68,21,100
"result.97",97,62,18,100
"result.98",98,36,15,99
"result.99",99,52,15,100
"result.100",100,73,18,100
"result.101",101,58,20,100
"result.102",102,37,15,100
"result.103",103,96,21,99
"result.104",104,68,16,100
"result.105",105,71,22,99
"result.106",106,50,23,100
"result.107",107,109,23,100
"result.108",108,51,24,100
"result.109",109,38,22,100
"result.110",110,81,22,97
"result.111",111,61,23,99
"result.112",112,84,27,100
"result.113",113,34,18,99
"result.114",114,96,31,100
"result.115",115,36,10,100
"result.116",116,43,16,100
"result.117",117,44,22,98
"result.118",118,54,30,99
"result.119",119,67,23,100
"result.120",120,45,22,100
"result.121",121,59,24,100
"result.122",122,100,30,100
"result.123",123,41,14,99
"result.124",124,93,28,100
"result.125",125,63,15,100
"result.126",126,64,23,100
"result.127",127,83,22,100
"result.128",128,38,26,98
"result.129",129,86,22,100
"result.130",130,95,22,100
"result.131",131,50,20,99
"result.132",132,26,13,98
"result.133",133,52,20,97
"result.134",134,79,25,100
"result.135",135,65,15,99
"result.136",136,97,24,100
"result.137",137,51,17,96
"result.138",138,85,28,100
"result.139",139,45,15,100
"result.140",140,44,24,100
"result.141",141,52,20,99
"result.142",142,163,22,100
"result.143",143,43,21,98
"result.144",144,55,20,100
"result.145",145,30,19,100
"result.146",146,38,15,99
"result.147",147,34,19,98
"result.148",148,98,26,100
"result.149",149,45,15,99
"result.150",150,41,18,99
"result.151",151,51,20,99
"result.152",152,87,25,92
"result.153",153,104,30,100
"result.154",154,46,20,100
"result.155",155,42,19,92
"result.156",156,33,23,99
"result.157",157,62,15,100
"result.158",158,75,21,96
"result.159",159,41,16,100
"result.160",160,47,30,100
"result.161",161,97,25,100
"result.162",162,34,14,99
"result.163",163,52,27,98
"result.164",164,53,22,100
"result.165",165,93,21,100
"result.166",166,61,24,99
"result.167",167,60,23,99
"result.168",168,108,29,100
"result.169",169,32,13,100
"result.170",170,79,21,99
"result.171",171,95,28,100
"result.172",172,55,21,97
"result.173",173,54,22,100
"result.174",174,33,23,93
"result.175",175,74,22,100
"result.176",176,57,18,100
"result.177",177,85,20,100
"result.178",178,87,24,100
"result.179",179,64,23,96
"result.180",180,167,27,100
"result.181",181,70,17,97
"result.182",182,20,17,99
"result.183",183,56,26,100
"result.184",184,82,30,100
"result.185",185,69,21,100
"result.186",186,43,16,93
"result.187",187,124,22,99
"result.188",188,78,28,100
"result.189",189,44,16,97
"result.190",190,64,19,99
"result.191",191,51,14,100
"result.192",192,54,26,99
"result.193",193,66,22,93
"result.194",194,33,21,95
"result.195",195,56,17,100
"result.196",196,81,20,100
"result.197",197,52,17,94
"result.198",198,89,28,100
"result.199",199,50,14,97
"result.200",200,29,16,96
"result.201",201,41,22,98
"result.202",202,97,28,100
"result.203",203,92,26,99
"result.204",204,124,19,100
"result.205",205,50,19,99
"result.206",206,59,25,100
"result.207",207,27,16,98
"result.208",208,61,19,99
"result.209",209,43,19,100
"result.210",210,56,21,96
"result.211",211,69,23,99
"result.212",212,63,20,99
"result.213",213,59,22,99
"result.214",214,123,24,99
"result.215",215,53,22,99
"result.216",216,57,28,98
"result.217",217,18,9,100
"result.218",218,72,24,99
"result.219",219,37,19,100
"result.220",220,77,20,100
"result.221",221,37,21,100
"result.222",222,46,21,100
"result.223",223,64,26,98
"result.224",224,101,25,100
"result.225",225,90,17,100
"result.226",226,69,20,100
"result.227",227,71,27,100
"result.228",228,19,14,93
"result.229",229,67,28,100
"result.230",230,34,19,95
"result.231",231,99,25,100
"result.232",232,46,15,98
"result.233",233,57,11,99
"result.234",234,36,24,100
"result.235",235,35,18,100
"result.236",236,25,18,99
"result.237",237,49,19,100
"result.238",238,52,19,100
"result.239",239,77,27,100
"result.240",240,45,20,100
"result.241",241,40,17,98
"result.242",242,77,29,100
"result.243",243,35,22,96
"result.244",244,41,22,99
"result.245",245,48,23,100
"result.246",246,65,23,100
"result.247",247,58,27,99
"result.248",248,57,28,99
"result.249",249,46,21,100
"result.250",250,39,19,100
"result.251",251,50,26,98
"result.252",252,49,23,100
"result.253",253,75,18,100
"result.254",254,49,23,99
"result.255",255,41,24,100
"result.256",256,41,15,95
"result.257",257,105,32,100
"result.258",258,61,19,100
"result.259",259,49,22,96
"result.260",260,91,24,99
"result.261",261,95,24,100
"result.262",262,48,17,100
"result.263",263,81,21,100
"result.264",264,113,21,100
"result.265",265,69,27,98
"result.266",266,23,12,92
"result.267",267,46,22,98
"result.268",268,62,17,100
"result.269",269,32,21,86
"result.270",270,68,26,99
"result.271",271,93,21,100
"result.272",272,33,18,100
"result.273",273,116,20,100
"result.274",274,98,22,100
"result.275",275,87,23,97
"result.276",276,33,14,99
"result.277",277,54,21,98
"result.278",278,102,28,100
"result.279",279,42,16,100
"result.280",280,31,11,98
"result.281",281,66,22,98
"result.282",282,40,22,98
"result.283",283,74,26,100
"result.284",284,24,13,76
"result.285",285,58,15,100
"result.286",286,23,11,97
"result.287",287,54,20,100
"result.288",288,59,23,100
"result.289",289,57,22,100
"result.290",290,51,14,90
"result.291",291,49,17,100
"result.292",292,62,23,100
"result.293",293,98,27,99
"result.294",294,70,26,100
"result.295",295,53,18,99
"result.296",296,29,19,97
"result.297",297,50,17,100
"result.298",298,89,28,100
"result.299",299,67,21,100
"result.300",300,53,23,99
"result.301",301,46,25,99
"result.302",302,60,18,94
"result.303",303,32,18,98
"result.304",304,24,13,98
"result.305",305,59,15,99
"result.306",306,49,23,99
"result.307",307,88,20,100
"result.308",308,59,22,97
"result.309",309,23,9,91
"result.310",310,20,14,97
"result.311",311,59,15,97
"result.312",312,26,14,86
"result.313",313,73,23,100
"result.314",314,42,15,93
"result.315",315,44,14,95
"result.316",316,48,21,98
"result.317",317,61,26,100
"result.318",318,25,16,87
"result.319",319,35,18,99
"result.320",320,50,19,99
"result.321",321,97,32,100
"result.322",322,37,14,100
"result.323",323,61,17,100
"result.324",324,80,21,100
"result.325",325,90,30,100
"result.326",326,92,23,99
"result.327",327,78,20,99
"result.328",328,78,24,98
"result.329",329,40,25,100
"result.330",330,41,18,100
"result.331",331,46,21,97
"result.332",332,57,24,100
"result.333",333,36,16,100
"result.334",334,67,23,99
"result.335",335,67,27,97
"result.336",336,27,17,99
"result.337",337,73,29,100
"result.338",338,95,25,100
"result.339",339,97,26,100
"result.340",340,63,21,98
"result.341",341,56,24,97
"result.342",342,103,30,98
"result.343",343,75,24,99
"result.344",344,40,20,98
"result.345",345,64,25,98
"result.346",346,86,31,99
"result.347",347,61,12,100
"result.348",348,35,16,99
"result.349",349,51,23,97
"result.350",350,77,26,99
"result.351",351,60,28,100
"result.352",352,61,16,98
"result.353",353,59,19,97
"result.354",354,43,20,100
"result.355",355,40,20,96
"result.356",356,31,10,100
"result.357",357,34,18,93
"result.358",358,50,22,97
"result.359",359,98,28,100
"result.360",360,125,20,99
"result.361",361,51,15,95
"result.362",362,63,20,97
"result.363",363,44,17,95
"result.364",364,45,23,99
"result.365",365,80,17,98
"result.366",366,53,20,100
"result.367",367,35,15,96
"result.368",368,46,20,97
"result.369",369,99,23,99
"result.370",370,54,20,97
"result.371",371,43,20,97
"result.372",372,39,19,94
"result.373",373,35,20,100
"result.374",374,68,19,99
"result.375",375,49,16,100
"result.376",376,63,15,100
"result.377",377,51,22,100
"result.378",378,72,18,100
"result.379",379,92,25,97
"result.380",380,105,21,100
"result.381",381,85,24,100
"result.382",382,84,26,100
"result.383",383,70,17,98
"result.384",384,67,22,100
"result.385",385,41,24,98
"result.386",386,46,18,95
"result.387",387,15,11,69
"result.388",388,57,20,98
"result.389",389,29,16,99
"result.390",390,88,25,100
"result.391",391,39,20,100
"result.392",392,73,17,99
"result.393",393,32,19,93
"result.394",394,33,13,99
"result.395",395,43,16,100
"result.396",396,85,17,100
"result.397",397,73,16,99
"result.398",398,57,22,100
"result.399",399,47,26,100
"result.400",400,51,19,100
"result.401",401,24,17,100
"result.402",402,56,23,100
"result.403",403,31,11,99
"result.404",404,30,13,97
"result.405",405,55,19,99
"result.406",406,75,22,99
"result.407",407,32,17,98
"result.408",408,27,17,98
"result.409",409,57,17,100
"result.410",410,50,19,100
"result.411",411,43,27,98
"result.412",412,103,31,100
"result.413",413,47,20,97
"result.414",414,45,17,99
"result.415",415,43,21,98
"result.416",416,98,23,100
"result.417",417,49,16,99
"result.418",418,47,20,99
"result.419",419,41,22,100
"result.420",420,57,24,99
"result.421",421,38,18,99
"result.422",422,46,17,99
"result.423",423,31,21,97
"result.424",424,57,20,98
"result.425",425,42,15,98
"result.426",426,41,20,100
"result.427",427,82,22,96
"result.428",428,65,21,94
"result.429",429,22,13,96
"result.430",430,82,24,100
"result.431",431,76,25,100
"result.432",432,61,25,100
"result.433",433,41,17,99
"result.434",434,60,25,99
"result.435",435,74,20,100
"result.436",436,86,16,93
"result.437",437,29,15,100
"result.438",438,75,28,99
"result.439",439,111,27,100
"result.440",440,46,20,100
"result.441",441,93,30,100
"result.442",442,113,31,98
"result.443",443,73,19,100
"result.444",444,68,21,100
"result.445",445,68,16,96
"result.446",446,64,24,100
"result.447",447,66,21,98
"result.448",448,27,20,98
"result.449",449,51,19,100
"result.450",450,40,19,99
"result.451",451,78,23,96
"result.452",452,70,13,99
"result.453",453,100,24,100
"result.454",454,65,20,99
"result.455",455,66,30,100
"result.456",456,62,20,100
"result.457",457,66,26,100
