"","V1","V2","V3","V4"
"result.1",1,33,19,98
"result.2",2,56,22,100
"result.3",3,37,23,99
"result.4",4,54,28,97
"result.5",5,70,30,100
"result.6",6,45,20,98
"result.7",7,89,29,98
"result.8",8,42,19,100
"result.9",9,38,21,98
"result.10",10,45,20,95
"result.11",11,66,36,97
"result.12",12,22,15,100
"result.13",13,19,14,97
"result.14",14,88,23,100
"result.15",15,14,14,95
"result.16",16,57,19,99
"result.17",17,67,22,95
"result.18",18,27,18,99
"result.19",19,33,21,99
"result.20",20,42,23,99
"result.21",21,80,34,100
"result.22",22,46,22,96
"result.23",23,23,12,97
"result.24",24,67,26,99
"result.25",25,34,23,94
"result.26",26,33,21,97
"result.27",27,78,22,100
"result.28",28,46,25,88
"result.29",29,24,19,100
"result.30",30,38,22,94
"result.31",31,51,24,100
"result.32",32,43,19,99
"result.33",33,44,26,100
"result.34",34,76,23,99
"result.35",35,22,15,99
"result.36",36,40,23,85
"result.37",37,31,14,100
"result.38",38,34,15,99
"result.39",39,29,15,100
"result.40",40,40,19,100
"result.41",41,32,20,100
"result.42",42,58,21,94
"result.43",43,37,18,100
"result.44",44,30,19,94
"result.45",45,47,24,97
"result.46",46,35,18,98
"result.47",47,29,18,98
"result.48",48,52,22,100
"result.49",49,40,21,100
"result.50",50,52,24,100
"result.51",51,39,17,97
"result.52",52,28,20,100
"result.53",53,63,24,97
"result.54",54,67,31,97
"result.55",55,53,26,98
"result.56",56,35,16,100
"result.57",57,42,17,89
"result.58",58,52,29,100
"result.59",59,51,27,98
"result.60",60,30,18,98
"result.61",61,38,19,100
"result.62",62,55,22,100
"result.63",63,36,24,99
"result.64",64,40,18,98
"result.65",65,60,29,94
"result.66",66,56,24,99
"result.67",67,66,27,100
"result.68",68,41,21,99
"result.69",69,43,14,96
"result.70",70,40,18,100
"result.71",71,61,25,100
"result.72",72,38,26,99
"result.73",73,63,25,99
"result.74",74,83,29,100
"result.75",75,40,23,95
"result.76",76,33,15,94
"result.77",77,33,15,92
"result.78",78,57,24,86
"result.79",79,86,23,99
"result.80",80,22,13,98
"result.81",81,40,24,100
"result.82",82,34,14,100
"result.83",83,37,24,100
"result.84",84,40,25,100
"result.85",85,47,18,94
"result.86",86,49,24,94
"result.87",87,16,14,94
"result.88",88,46,18,95
"result.89",89,19,16,99
"result.90",90,38,20,100
"result.91",91,41,23,90
"result.92",92,46,23,100
"result.93",93,71,25,100
"result.94",94,73,28,100
"result.95",95,43,23,99
"result.96",96,38,19,98
"result.97",97,56,23,97
"result.98",98,67,27,99
"result.99",99,54,29,100
"result.100",100,32,17,90
"result.101",101,29,16,91
"result.102",102,53,29,99
"result.103",103,40,23,100
"result.104",104,45,29,100
"result.105",105,61,25,98
"result.106",106,73,26,100
"result.107",107,60,25,99
"result.108",108,42,22,100
"result.109",109,36,16,87
"result.110",110,55,20,100
"result.111",111,32,18,100
"result.112",112,38,22,93
"result.113",113,79,17,100
"result.114",114,28,16,100
"result.115",115,32,14,97
"result.116",116,35,21,100
"result.117",117,53,23,100
"result.118",118,35,23,99
"result.119",119,34,21,97
"result.120",120,52,23,97
"result.121",121,30,18,100
"result.122",122,74,30,99
"result.123",123,40,22,96
"result.124",124,42,18,99
"result.125",125,28,18,97
"result.126",126,24,16,99
"result.127",127,46,24,100
"result.128",128,53,25,99
"result.129",129,50,26,100
"result.130",130,38,17,98
"result.131",131,52,26,98
"result.132",132,57,24,100
"result.133",133,54,24,99
"result.134",134,43,21,97
"result.135",135,66,25,100
"result.136",136,39,19,97
"result.137",137,33,17,100
"result.138",138,28,16,95
"result.139",139,42,24,99
"result.140",140,51,20,98
"result.141",141,48,27,99
"result.142",142,52,26,100
"result.143",143,49,20,100
"result.144",144,36,22,99
"result.145",145,46,26,99
"result.146",146,32,16,99
"result.147",147,76,28,99
"result.148",148,41,24,100
"result.149",149,47,23,99
"result.150",150,59,22,99
"result.151",151,42,18,97
"result.152",152,39,19,100
"result.153",153,23,15,97
"result.154",154,49,14,99
"result.155",155,27,19,96
"result.156",156,75,29,100
"result.157",157,26,18,99
"result.158",158,68,22,100
"result.159",159,50,15,100
"result.160",160,32,14,99
"result.161",161,59,20,98
"result.162",162,33,19,99
"result.163",163,36,18,99
"result.164",164,35,17,100
"result.165",165,44,23,99
"result.166",166,65,19,100
"result.167",167,30,16,97
"result.168",168,28,14,99
"result.169",169,54,20,100
"result.170",170,89,32,100
"result.171",171,40,15,97
"result.172",172,77,31,99
"result.173",173,40,19,97
"result.174",174,18,14,97
"result.175",175,33,20,100
"result.176",176,56,25,95
"result.177",177,37,23,94
"result.178",178,28,19,100
"result.179",179,41,25,99
"result.180",180,49,20,100
"result.181",181,62,18,100
"result.182",182,37,18,100
"result.183",183,48,25,97
"result.184",184,24,21,100
"result.185",185,44,19,100
"result.186",186,30,20,100
"result.187",187,47,20,98
"result.188",188,58,16,99
"result.189",189,39,24,99
"result.190",190,111,33,98
"result.191",191,45,21,100
"result.192",192,33,20,100
"result.193",193,45,23,97
"result.194",194,50,27,98
"result.195",195,36,22,97
"result.196",196,30,16,99
"result.197",197,49,24,99
"result.198",198,56,24,100
"result.199",199,28,17,97
"result.200",200,50,23,99
"result.201",201,39,19,100
"result.202",202,44,17,100
"result.203",203,39,17,99
"result.204",204,39,16,98
"result.205",205,55,19,100
"result.206",206,48,25,100
"result.207",207,39,23,97
"result.208",208,43,19,98
"result.209",209,37,16,99
"result.210",210,72,18,100
"result.211",211,36,17,99
"result.212",212,54,20,94
"result.213",213,65,24,100
"result.214",214,34,23,100
"result.215",215,25,18,100
"result.216",216,41,22,98
"result.217",217,32,16,92
"result.218",218,42,17,99
"result.219",219,41,22,99
"result.220",220,44,16,100
"result.221",221,33,22,100
"result.222",222,42,18,99
"result.223",223,56,21,100
"result.224",224,44,18,99
"result.225",225,35,18,100
"result.226",226,31,19,99
"result.227",227,66,29,100
"result.228",228,26,18,96
"result.229",229,46,23,100
"result.230",230,50,27,100
"result.231",231,55,23,96
"result.232",232,23,14,94
"result.233",233,69,25,98
"result.234",234,27,19,99
"result.235",235,22,15,98
"result.236",236,52,24,94
"result.237",237,79,28,98
"result.238",238,29,14,98
"result.239",239,39,21,100
"result.240",240,45,20,100
"result.241",241,39,23,100
"result.242",242,43,19,99
"result.243",243,36,18,100
"result.244",244,48,17,100
"result.245",245,40,20,99
"result.246",246,44,20,100
"result.247",247,35,23,98
"result.248",248,35,18,96
"result.249",249,68,30,98
"result.250",250,35,16,100
"result.251",251,37,19,99
"result.252",252,63,23,98
"result.253",253,33,19,95
"result.254",254,27,21,100
"result.255",255,30,12,100
"result.256",256,44,22,100
"result.257",257,45,25,100
"result.258",258,58,28,100
"result.259",259,56,27,100
"result.260",260,25,17,100
"result.261",261,40,27,98
"result.262",262,32,23,99
"result.263",263,37,21,98
"result.264",264,56,22,100
"result.265",265,41,23,100
"result.266",266,57,20,100
"result.267",267,38,21,96
"result.268",268,44,25,100
"result.269",269,47,24,98
"result.270",270,76,23,99
"result.271",271,39,23,98
"result.272",272,34,21,100
"result.273",273,73,23,99
"result.274",274,44,25,100
"result.275",275,29,16,100
"result.276",276,37,16,100
"result.277",277,21,12,89
"result.278",278,74,30,100
"result.279",279,73,37,98
"result.280",280,47,16,97
"result.281",281,45,16,98
"result.282",282,45,24,100
"result.283",283,27,16,100
"result.284",284,59,27,99
"result.285",285,46,22,99
"result.286",286,64,23,99
"result.287",287,45,25,99
"result.288",288,35,19,100
"result.289",289,39,19,100
"result.290",290,40,25,100
"result.291",291,63,23,100
"result.292",292,53,25,99
"result.293",293,53,23,93
"result.294",294,39,18,99
"result.295",295,28,16,100
"result.296",296,38,19,97
"result.297",297,39,23,99
"result.298",298,33,22,98
"result.299",299,57,24,97
"result.300",300,47,20,100
"result.301",301,27,15,96
"result.302",302,36,24,100
"result.303",303,52,21,100
"result.304",304,33,19,98
"result.305",305,45,23,100
"result.306",306,22,15,100
"result.307",307,59,28,96
"result.308",308,45,19,97
"result.309",309,43,20,100
"result.310",310,23,11,90
"result.311",311,56,24,100
"result.312",312,39,17,100
"result.313",313,30,16,99
"result.314",314,78,27,97
"result.315",315,26,18,98
"result.316",316,46,24,100
"result.317",317,42,24,100
"result.318",318,38,21,100
"result.319",319,31,15,96
"result.320",320,31,21,97
"result.321",321,41,19,100
"result.322",322,56,23,97
"result.323",323,37,21,96
"result.324",324,48,22,93
"result.325",325,29,16,96
"result.326",326,43,18,100
"result.327",327,56,22,96
"result.328",328,66,26,97
"result.329",329,25,15,100
"result.330",330,35,20,100
"result.331",331,46,26,97
"result.332",332,54,18,100
"result.333",333,37,22,99
"result.334",334,29,16,99
"result.335",335,35,10,95
"result.336",336,33,21,90
"result.337",337,35,21,100
"result.338",338,77,28,98
"result.339",339,24,15,85
"result.340",340,43,23,99
"result.341",341,58,19,100
"result.342",342,54,27,99
"result.343",343,33,24,99
"result.344",344,20,12,97
"result.345",345,34,19,95
"result.346",346,42,28,99
"result.347",347,30,20,100
"result.348",348,20,16,99
"result.349",349,24,13,99
"result.350",350,45,20,94
"result.351",351,30,18,100
"result.352",352,39,21,100
"result.353",353,35,21,98
"result.354",354,47,22,98
"result.355",355,60,26,100
"result.356",356,32,21,100
"result.357",357,34,20,99
"result.358",358,57,23,98
"result.359",359,53,20,100
"result.360",360,48,21,100
"result.361",361,76,31,98
"result.362",362,37,20,96
"result.363",363,38,18,100
"result.364",364,54,26,100
"result.365",365,23,21,99
"result.366",366,30,19,97
"result.367",367,26,17,100
"result.368",368,42,21,100
"result.369",369,44,27,100
"result.370",370,55,28,100
"result.371",371,47,22,96
"result.372",372,34,20,99
"result.373",373,16,13,89
"result.374",374,36,20,100
"result.375",375,37,23,99
"result.376",376,16,9,95
"result.377",377,37,27,100
"result.378",378,21,13,97
"result.379",379,60,27,100
"result.380",380,34,20,100
"result.381",381,24,15,98
"result.382",382,53,24,97
"result.383",383,32,20,100
"result.384",384,58,29,99
"result.385",385,38,22,98
"result.386",386,39,23,100
"result.387",387,34,23,97
"result.388",388,43,26,97
"result.389",389,84,28,100
"result.390",390,30,20,97
"result.391",391,35,16,100
"result.392",392,56,25,100
"result.393",393,55,23,100
"result.394",394,80,27,100
"result.395",395,39,21,100
"result.396",396,23,14,100
"result.397",397,60,20,100
"result.398",398,42,17,100
"result.399",399,44,23,97
"result.400",400,46,21,98
"result.401",401,27,19,92
"result.402",402,46,28,100
"result.403",403,21,13,95
"result.404",404,41,24,94
"result.405",405,38,23,98
"result.406",406,25,19,98
