"","V1","V2","V3","V4"
"result.1",1,14,14,95
"result.2",2,25,20,92
"result.3",3,35,20,97
"result.4",4,41,25,100
"result.5",5,18,17,96
"result.6",6,15,12,72
"result.7",7,32,27,96
"result.8",8,36,18,100
"result.9",9,39,21,95
"result.10",10,21,19,98
"result.11",11,29,22,96
"result.12",12,35,21,99
"result.13",13,18,18,87
"result.14",14,28,18,99
"result.15",15,39,23,85
"result.16",16,36,21,99
"result.17",17,20,17,88
"result.18",18,45,21,100
"result.19",19,26,18,98
"result.20",20,24,22,97
"result.21",21,28,24,98
"result.22",22,41,25,99
"result.23",23,22,18,96
"result.24",24,30,19,99
"result.25",25,13,12,97
"result.26",26,24,24,100
"result.27",27,19,15,93
"result.28",28,29,20,97
"result.29",29,29,24,100
"result.30",30,26,19,100
"result.31",31,30,23,92
"result.32",32,34,24,99
"result.33",33,24,17,98
"result.34",34,23,20,85
"result.35",35,49,26,100
"result.36",36,19,19,84
"result.37",37,34,25,100
"result.38",38,19,19,98
"result.39",39,40,27,96
"result.40",40,38,22,99
"result.41",41,29,25,98
"result.42",42,39,19,99
"result.43",43,30,22,98
"result.44",44,35,19,98
"result.45",45,31,21,99
"result.46",46,28,17,89
"result.47",47,23,21,100
"result.48",48,45,21,96
"result.49",49,23,18,97
"result.50",50,24,15,80
"result.51",51,40,25,99
"result.52",52,43,19,97
"result.53",53,34,24,97
"result.54",54,21,18,87
"result.55",55,20,19,98
"result.56",56,21,17,95
"result.57",57,37,18,97
"result.58",58,27,25,100
"result.59",59,25,19,94
"result.60",60,27,19,100
"result.61",61,20,19,95
"result.62",62,49,24,99
"result.63",63,39,29,100
"result.64",64,26,17,99
"result.65",65,22,19,100
"result.66",66,30,23,99
"result.67",67,23,19,89
"result.68",68,24,22,100
"result.69",69,27,17,100
"result.70",70,31,19,88
"result.71",71,32,23,100
"result.72",72,25,19,100
"result.73",73,53,21,97
"result.74",74,21,19,96
"result.75",75,28,20,97
"result.76",76,37,20,98
"result.77",77,57,23,100
"result.78",78,27,21,100
"result.79",79,24,21,98
"result.80",80,32,24,100
"result.81",81,28,27,97
"result.82",82,18,18,93
"result.83",83,27,23,93
"result.84",84,23,15,100
"result.85",85,23,20,93
"result.86",86,34,22,88
"result.87",87,34,25,99
"result.88",88,37,23,92
"result.89",89,21,16,98
"result.90",90,45,28,99
"result.91",91,36,25,100
"result.92",92,44,27,99
"result.93",93,25,18,100
"result.94",94,40,29,99
"result.95",95,39,28,100
"result.96",96,32,21,100
"result.97",97,29,21,97
"result.98",98,37,24,88
"result.99",99,24,19,97
