"","V1","V2","V3","V4"
"result.1",1,513,22,97
"result.2",2,504,18,84
"result.3",3,525,23,99
"result.4",4,517,20,96
"result.5",5,501,18,95
"result.6",6,504,24,92
"result.7",7,510,25,97
"result.8",8,522,31,100
"result.9",9,519,18,87
"result.10",10,515,19,93
"result.11",11,523,24,99
"result.12",12,514,31,99
"result.13",13,506,24,97
"result.14",14,518,28,100
"result.15",15,517,22,99
"result.16",16,508,21,97
"result.17",17,530,18,96
"result.18",18,510,23,99
"result.19",19,447,20,100
"result.20",20,517,24,97
"result.21",21,508,19,99
"result.22",22,322,13,100
"result.23",23,534,22,98
"result.24",24,512,22,93
"result.25",25,509,22,95
"result.26",26,285,17,100
"result.27",27,527,20,99
"result.28",28,512,22,99
"result.29",29,503,24,94
"result.30",30,527,23,92
"result.31",31,510,27,99
"result.32",32,508,17,97
"result.33",33,508,17,96
"result.34",34,502,17,97
"result.35",35,524,16,100
"result.36",36,505,18,94
"result.37",37,527,18,97
"result.38",38,522,28,90
"result.39",39,528,32,99
"result.40",40,488,19,100
"result.41",41,506,25,96
"result.42",42,529,21,100
"result.43",43,510,21,94
"result.44",44,502,16,96
"result.45",45,155,10,100
"result.46",46,374,18,100
"result.47",47,521,14,96
"result.48",48,502,18,98
"result.49",49,524,26,100
"result.50",50,514,20,100
"result.51",51,504,23,81
"result.52",52,510,23,96
"result.53",53,518,18,94
"result.54",54,529,19,93
"result.55",55,525,24,100
"result.56",56,416,10,100
"result.57",57,276,19,100
"result.58",58,512,15,91
"result.59",59,194,18,100
"result.60",60,512,22,96
"result.61",61,513,18,99
"result.62",62,519,17,90
"result.63",63,506,26,100
"result.64",64,511,22,100
"result.65",65,525,17,98
"result.66",66,503,24,92
"result.67",67,504,16,97
"result.68",68,510,35,100
"result.69",69,528,16,83
"result.70",70,504,22,91
"result.71",71,509,22,100
"result.72",72,525,28,95
"result.73",73,517,15,77
"result.74",74,511,23,99
"result.75",75,514,26,99
"result.76",76,503,22,99
"result.77",77,519,26,99
"result.78",78,505,16,90
"result.79",79,506,19,92
"result.80",80,502,24,92
"result.81",81,506,13,93
"result.82",82,520,24,99
"result.83",83,504,26,99
"result.84",84,507,18,100
"result.85",85,537,22,98
"result.86",86,506,19,98
"result.87",87,522,23,97
"result.88",88,503,15,95
"result.89",89,276,16,100
"result.90",90,514,14,97
"result.91",91,512,14,99
"result.92",92,414,15,100
"result.93",93,521,23,97
"result.94",94,517,20,99
"result.95",95,508,15,99
"result.96",96,511,21,99
