"","V1","V2","V3","V4"
"result.1",1,108,15,99
"result.2",2,112,26,98
"result.3",3,111,18,100
"result.4",4,56,21,100
"result.5",5,99,16,99
"result.6",6,93,27,100
"result.7",7,142,25,100
"result.8",8,178,30,100
"result.9",9,59,24,100
"result.10",10,151,16,100
"result.11",11,63,22,100
"result.12",12,74,22,100
"result.13",13,95,20,100
"result.14",14,139,22,100
"result.15",15,129,23,100
"result.16",16,72,22,100
"result.17",17,57,18,100
"result.18",18,59,19,97
"result.19",19,141,21,100
"result.20",20,89,24,100
"result.21",21,115,16,99
"result.22",22,110,23,100
"result.23",23,109,16,100
"result.24",24,153,28,100
"result.25",25,104,18,100
"result.26",26,142,31,100
"result.27",27,40,17,96
"result.28",28,51,18,98
"result.29",29,200,23,100
"result.30",30,62,21,100
"result.31",31,94,23,99
"result.32",32,41,12,100
"result.33",33,150,18,100
"result.34",34,110,23,100
"result.35",35,106,22,99
"result.36",36,72,21,98
"result.37",37,130,22,100
"result.38",38,67,17,99
"result.39",39,111,17,100
"result.40",40,146,30,100
"result.41",41,133,32,100
"result.42",42,50,21,96
"result.43",43,109,22,100
"result.44",44,132,29,100
"result.45",45,57,16,99
"result.46",46,57,14,99
"result.47",47,134,22,100
"result.48",48,23,12,76
"result.49",49,218,28,100
"result.50",50,121,20,99
"result.51",51,76,17,100
"result.52",52,87,17,100
"result.53",53,84,27,100
"result.54",54,104,23,100
"result.55",55,103,19,99
"result.56",56,51,24,99
"result.57",57,87,19,100
"result.58",58,167,22,100
"result.59",59,58,19,100
"result.60",60,77,15,98
"result.61",61,148,18,100
"result.62",62,75,19,99
"result.63",63,76,20,98
"result.64",64,148,25,100
"result.65",65,129,24,100
"result.66",66,67,22,99
"result.67",67,136,27,100
"result.68",68,65,21,99
"result.69",69,66,17,100
"result.70",70,54,23,100
"result.71",71,41,15,95
"result.72",72,41,16,100
"result.73",73,175,24,100
"result.74",74,41,22,100
"result.75",75,69,22,98
"result.76",76,60,25,100
"result.77",77,133,30,100
"result.78",78,70,16,98
"result.79",79,130,25,100
"result.80",80,53,20,100
"result.81",81,107,20,100
"result.82",82,81,15,100
"result.83",83,185,24,100
"result.84",84,197,32,100
"result.85",85,45,16,96
"result.86",86,50,19,100
"result.87",87,138,18,100
"result.88",88,106,11,100
"result.89",89,83,21,100
"result.90",90,75,19,100
"result.91",91,171,26,100
"result.92",92,90,23,100
"result.93",93,129,21,100
"result.94",94,60,21,100
"result.95",95,17,10,99
"result.96",96,126,19,100
"result.97",97,48,13,99
"result.98",98,151,18,100
"result.99",99,88,30,100
"result.100",100,75,18,100
"result.101",101,102,25,100
"result.102",102,88,20,100
"result.103",103,50,18,99
"result.104",104,59,21,98
"result.105",105,95,22,98
"result.106",106,182,23,100
"result.107",107,41,11,100
"result.108",108,78,24,100
"result.109",109,68,20,98
"result.110",110,109,28,100
"result.111",111,91,17,100
"result.112",112,152,25,100
"result.113",113,48,21,100
"result.114",114,116,23,100
"result.115",115,64,19,100
"result.116",116,137,20,100
"result.117",117,188,27,100
"result.118",118,125,26,100
"result.119",119,143,11,100
"result.120",120,88,22,100
"result.121",121,92,21,98
"result.122",122,237,25,100
"result.123",123,53,10,100
"result.124",124,133,19,100
"result.125",125,59,17,100
"result.126",126,144,27,100
"result.127",127,250,23,100
"result.128",128,81,23,99
"result.129",129,152,15,100
"result.130",130,91,18,100
"result.131",131,54,19,99
"result.132",132,47,22,100
"result.133",133,94,23,100
"result.134",134,156,21,100
"result.135",135,111,26,100
"result.136",136,97,17,100
"result.137",137,88,22,100
"result.138",138,77,23,100
"result.139",139,187,27,100
"result.140",140,50,13,100
"result.141",141,50,16,97
"result.142",142,101,22,100
"result.143",143,96,26,100
"result.144",144,186,16,100
"result.145",145,32,15,88
"result.146",146,67,20,100
"result.147",147,53,18,99
"result.148",148,115,24,100
"result.149",149,53,19,96
"result.150",150,116,11,99
"result.151",151,101,23,98
"result.152",152,90,21,100
"result.153",153,226,30,100
"result.154",154,104,23,100
"result.155",155,116,16,100
"result.156",156,78,14,97
"result.157",157,60,26,96
"result.158",158,130,26,99
"result.159",159,72,20,99
"result.160",160,38,14,98
"result.161",161,119,22,100
"result.162",162,166,21,100
"result.163",163,155,19,99
"result.164",164,33,16,100
"result.165",165,150,26,100
"result.166",166,66,27,100
"result.167",167,93,13,99
"result.168",168,51,13,100
"result.169",169,117,16,100
"result.170",170,78,20,100
"result.171",171,68,19,98
"result.172",172,104,22,100
"result.173",173,170,22,100
"result.174",174,123,29,100
"result.175",175,105,21,100
"result.176",176,64,18,100
"result.177",177,96,23,98
"result.178",178,115,18,100
"result.179",179,75,21,100
"result.180",180,64,22,97
"result.181",181,178,23,100
"result.182",182,73,17,100
"result.183",183,100,18,99
"result.184",184,76,19,100
"result.185",185,53,19,99
"result.186",186,97,26,100
"result.187",187,180,23,100
"result.188",188,81,28,100
"result.189",189,115,18,99
"result.190",190,64,15,99
"result.191",191,143,21,100
"result.192",192,60,21,97
"result.193",193,76,23,99
"result.194",194,97,22,100
"result.195",195,139,22,100
"result.196",196,176,25,99
"result.197",197,58,24,100
"result.198",198,121,22,100
"result.199",199,71,19,99
"result.200",200,120,18,100
"result.201",201,45,13,100
"result.202",202,107,18,100
"result.203",203,54,16,100
"result.204",204,190,24,99
"result.205",205,70,18,98
"result.206",206,44,20,100
"result.207",207,79,22,100
"result.208",208,103,24,100
"result.209",209,115,17,100
"result.210",210,201,20,100
"result.211",211,102,21,100
"result.212",212,125,26,100
"result.213",213,96,22,100
"result.214",214,53,14,99
"result.215",215,80,17,100
"result.216",216,130,29,100
"result.217",217,156,23,100
"result.218",218,116,26,100
"result.219",219,36,14,100
"result.220",220,128,22,99
"result.221",221,251,23,100
"result.222",222,150,30,100
"result.223",223,48,14,100
"result.224",224,161,26,100
"result.225",225,47,15,100
"result.226",226,100,26,100
"result.227",227,137,20,99
"result.228",228,189,25,100
"result.229",229,160,22,100
"result.230",230,128,20,100
"result.231",231,82,15,100
"result.232",232,46,15,96
"result.233",233,84,17,99
"result.234",234,90,24,100
"result.235",235,187,25,100
"result.236",236,129,18,99
"result.237",237,239,23,100
"result.238",238,116,21,100
"result.239",239,88,20,100
"result.240",240,258,26,100
"result.241",241,95,23,100
"result.242",242,145,32,99
"result.243",243,103,22,100
"result.244",244,82,16,97
"result.245",245,137,19,100
"result.246",246,66,21,99
"result.247",247,83,22,100
"result.248",248,51,13,100
"result.249",249,83,20,99
"result.250",250,106,15,100
"result.251",251,58,24,100
"result.252",252,87,21,100
"result.253",253,97,21,98
"result.254",254,108,18,100
"result.255",255,113,20,100
"result.256",256,33,15,100
"result.257",257,57,12,100
"result.258",258,134,24,100
"result.259",259,74,24,100
"result.260",260,69,15,100
"result.261",261,134,25,100
"result.262",262,237,35,100
"result.263",263,141,15,100
"result.264",264,71,24,100
"result.265",265,116,21,99
"result.266",266,65,22,100
"result.267",267,98,25,100
"result.268",268,71,19,99
"result.269",269,56,18,100
"result.270",270,118,25,99
"result.271",271,95,17,100
"result.272",272,61,13,100
"result.273",273,92,18,100
"result.274",274,50,18,99
"result.275",275,66,19,100
"result.276",276,42,14,99
"result.277",277,83,24,99
"result.278",278,83,19,99
"result.279",279,52,19,97
"result.280",280,164,21,100
"result.281",281,37,15,100
"result.282",282,104,28,99
"result.283",283,169,23,100
"result.284",284,69,22,100
"result.285",285,103,21,100
"result.286",286,109,20,100
"result.287",287,86,15,100
"result.288",288,102,28,99
"result.289",289,154,22,100
"result.290",290,63,15,100
"result.291",291,61,19,100
"result.292",292,61,18,100
"result.293",293,79,19,100
"result.294",294,58,22,100
"result.295",295,51,17,99
"result.296",296,66,14,97
"result.297",297,83,21,100
"result.298",298,159,23,100
"result.299",299,74,18,100
"result.300",300,164,19,100
"result.301",301,75,17,100
"result.302",302,71,17,99
"result.303",303,70,23,100
"result.304",304,137,23,100
"result.305",305,191,26,100
"result.306",306,95,19,100
"result.307",307,89,21,100
"result.308",308,131,21,99
"result.309",309,52,18,100
"result.310",310,191,27,100
"result.311",311,75,22,100
"result.312",312,130,26,100
"result.313",313,94,17,100
"result.314",314,106,26,100
"result.315",315,91,21,100
"result.316",316,144,18,98
"result.317",317,155,29,100
"result.318",318,139,22,100
"result.319",319,175,31,98
"result.320",320,237,25,100
"result.321",321,229,31,100
"result.322",322,50,15,100
"result.323",323,76,16,98
"result.324",324,51,22,100
"result.325",325,31,15,100
"result.326",326,126,25,100
"result.327",327,105,23,99
"result.328",328,71,17,100
"result.329",329,137,25,98
"result.330",330,42,22,97
"result.331",331,103,25,100
"result.332",332,132,24,100
"result.333",333,124,26,100
"result.334",334,116,19,100
"result.335",335,106,22,100
"result.336",336,95,27,100
"result.337",337,73,31,100
"result.338",338,140,24,99
"result.339",339,65,17,100
"result.340",340,79,23,98
"result.341",341,199,24,100
"result.342",342,102,20,99
"result.343",343,61,20,100
"result.344",344,79,23,100
"result.345",345,51,14,90
"result.346",346,105,16,99
"result.347",347,121,16,100
"result.348",348,203,25,100
"result.349",349,112,28,100
"result.350",350,65,22,99
"result.351",351,177,27,100
"result.352",352,42,19,100
"result.353",353,44,18,98
"result.354",354,54,17,100
"result.355",355,116,20,100
"result.356",356,139,21,100
"result.357",357,90,25,100
"result.358",358,200,20,100
"result.359",359,161,25,100
"result.360",360,115,24,100
"result.361",361,45,21,100
"result.362",362,99,25,100
"result.363",363,281,22,100
"result.364",364,127,23,100
"result.365",365,181,25,100
"result.366",366,59,20,100
"result.367",367,74,15,99
"result.368",368,113,22,100
