"","V1","V2","V3","V4"
"result.1",1,505,3,122
"result.2",2,3,1,29
"result.3",3,2,2,140
"result.4",4,1,1,1
"result.5",5,510,2,203
"result.6",6,502,2,174
"result.7",7,501,1,180
"result.8",8,503,3,263
"result.9",9,17,1,58
"result.10",10,5,2,209
"result.11",11,1,1,1
"result.12",12,504,1,176
"result.13",13,261,3,270
"result.14",14,507,2,167
"result.15",15,504,1,153
"result.16",16,510,1,152
"result.17",17,506,2,183
"result.18",18,5,2,252
"result.19",19,511,2,206
"result.20",20,1,1,1
"result.21",21,98,3,270
"result.22",22,7,2,270
"result.23",23,511,1,131
"result.24",24,510,2,232
"result.25",25,9,2,143
"result.26",26,517,3,202
"result.27",27,514,3,174
"result.28",28,1,1,1
"result.29",29,24,2,254
"result.30",30,1,1,1
"result.31",31,506,2,216
"result.32",32,2,1,12
"result.33",33,501,2,246
"result.34",34,511,2,193
"result.35",35,4,1,33
"result.36",36,511,2,248
"result.37",37,510,1,120
"result.38",38,5,1,52
"result.39",39,2,2,175
"result.40",40,50,3,269
"result.41",41,1,1,1
"result.42",42,1,1,1
"result.43",43,6,3,263
"result.44",44,508,2,176
"result.45",45,507,1,111
"result.46",46,14,4,269
"result.47",47,9,1,64
"result.48",48,502,1,165
"result.49",49,516,3,221
"result.50",50,2,1,9
"result.51",51,510,2,219
"result.52",52,510,2,176
"result.53",53,511,3,184
"result.54",54,2,2,49
"result.55",55,12,3,267
"result.56",56,512,1,148
"result.57",57,160,3,270
"result.58",58,4,1,25
"result.59",59,14,3,190
"result.60",60,1,1,1
"result.61",61,54,3,208
"result.62",62,511,2,142
"result.63",63,506,4,265
"result.64",64,2,1,11
"result.65",65,511,2,190
"result.66",66,11,3,270
"result.67",67,503,2,147
"result.68",68,509,3,199
"result.69",69,503,3,253
"result.70",70,8,3,218
"result.71",71,3,3,172
"result.72",72,510,5,226
"result.73",73,512,3,168
"result.74",74,501,2,236
"result.75",75,505,1,94
"result.76",76,31,1,67
"result.77",77,6,3,98
"result.78",78,510,1,105
"result.79",79,2,1,14
"result.80",80,5,1,33
"result.81",81,6,3,217
"result.82",82,511,2,238
"result.83",83,501,1,122
"result.84",84,505,3,252
"result.85",85,5,2,221
"result.86",86,507,3,212
"result.87",87,501,2,128
"result.88",88,504,1,130
"result.89",89,1,1,1
"result.90",90,505,1,257
"result.91",91,18,3,260
"result.92",92,5,1,29
"result.93",93,508,1,91
"result.94",94,15,3,73
"result.95",95,32,2,270
"result.96",96,8,3,225
"result.97",97,502,1,124
"result.98",98,6,2,266
"result.99",99,3,1,15
"result.100",100,510,2,270
"result.101",101,502,3,213
"result.102",102,18,2,78
"result.103",103,505,2,150
"result.104",104,3,1,15
"result.105",105,5,1,19
"result.106",106,120,2,269
"result.107",107,506,1,189
"result.108",108,506,2,131
"result.109",109,11,2,58
"result.110",110,511,2,205
"result.111",111,2,1,3
"result.112",112,10,3,264
