"","V1","V2","V3","V4"
"result.1",1,143,64,783
"result.2",2,126,39,775
"result.3",3,247,60,781
"result.4",4,132,48,776
"result.5",5,195,53,784
"result.6",6,153,48,784
"result.7",7,180,41,773
"result.8",8,137,48,783
"result.9",9,135,54,758
"result.10",10,142,39,718
"result.11",11,223,61,784
"result.12",12,202,58,784
"result.13",13,225,49,784
"result.14",14,96,41,784
"result.15",15,144,50,771
"result.16",16,190,52,782
"result.17",17,193,58,780
"result.18",18,195,46,782
"result.19",19,106,36,766
"result.20",20,219,46,783
"result.21",21,159,43,784
"result.22",22,273,51,765
"result.23",23,177,53,783
"result.24",24,184,53,738
"result.25",25,96,49,773
"result.26",26,136,55,783
"result.27",27,133,46,784
"result.28",28,171,50,686
"result.29",29,230,61,776
"result.30",30,140,43,784
"result.31",31,141,50,782
"result.32",32,263,53,771
"result.33",33,216,54,779
"result.34",34,186,44,764
"result.35",35,160,66,782
"result.36",36,211,61,784
"result.37",37,172,44,764
"result.38",38,115,44,754
"result.39",39,228,56,773
"result.40",40,83,45,781
"result.41",41,123,57,783
"result.42",42,164,51,784
"result.43",43,169,67,782
"result.44",44,314,55,783
"result.45",45,145,48,775
"result.46",46,149,44,782
"result.47",47,190,56,782
"result.48",48,261,53,783
"result.49",49,325,57,779
"result.50",50,232,48,784
"result.51",51,127,48,744
"result.52",52,307,64,784
"result.53",53,270,58,775
"result.54",54,98,37,774
"result.55",55,107,39,762
"result.56",56,119,43,772
"result.57",57,228,41,766
"result.58",58,89,36,781
"result.59",59,133,40,763
"result.60",60,147,50,779
"result.61",61,199,43,781
"result.62",62,190,58,741
"result.63",63,160,49,782
"result.64",64,158,48,777
"result.65",65,180,52,780
"result.66",66,203,53,773
"result.67",67,176,51,784
"result.68",68,177,54,765
"result.69",69,191,59,780
"result.70",70,190,51,784
"result.71",71,174,54,781
"result.72",72,154,55,770
"result.73",73,172,54,778
"result.74",74,255,57,784
"result.75",75,176,52,784
"result.76",76,245,61,781
"result.77",77,176,51,775
"result.78",78,268,62,784
"result.79",79,266,55,775
"result.80",80,197,60,765
"result.81",81,230,69,781
"result.82",82,131,44,783
"result.83",83,133,33,782
"result.84",84,155,57,770
"result.85",85,164,44,782
"result.86",86,204,56,774
"result.87",87,171,46,784
"result.88",88,101,39,777
"result.89",89,197,51,780
"result.90",90,169,47,784
"result.91",91,195,59,758
"result.92",92,242,66,781
"result.93",93,195,51,782
"result.94",94,194,56,784
"result.95",95,100,38,782
"result.96",96,196,42,784
"result.97",97,205,50,782
"result.98",98,172,39,746
"result.99",99,374,51,783
"result.100",100,158,44,784
"result.101",101,232,51,778
"result.102",102,258,61,777
"result.103",103,221,63,757
"result.104",104,204,48,784
"result.105",105,199,64,777
"result.106",106,209,49,784
"result.107",107,127,44,784
"result.108",108,186,51,771
"result.109",109,151,51,779
"result.110",110,142,44,779
"result.111",111,140,56,783
"result.112",112,182,75,783
"result.113",113,233,53,775
"result.114",114,193,55,783
"result.115",115,143,45,784
"result.116",116,163,54,781
"result.117",117,107,47,781
"result.118",118,129,53,784
"result.119",119,212,51,784
"result.120",120,199,54,781
"result.121",121,98,49,784
"result.122",122,255,63,769
"result.123",123,284,58,782
"result.124",124,350,56,783
"result.125",125,89,37,783
"result.126",126,183,45,773
"result.127",127,191,57,768
"result.128",128,186,48,784
"result.129",129,272,45,772
"result.130",130,120,36,781
"result.131",131,136,51,781
"result.132",132,207,67,780
"result.133",133,196,52,783
"result.134",134,162,56,778
"result.135",135,191,50,774
"result.136",136,140,58,784
"result.137",137,96,39,777
"result.138",138,152,44,783
"result.139",139,213,52,770
"result.140",140,109,43,783
"result.141",141,223,52,784
"result.142",142,171,44,784
"result.143",143,142,50,782
"result.144",144,192,51,780
"result.145",145,211,66,765
"result.146",146,119,39,726
"result.147",147,236,44,783
"result.148",148,308,59,782
"result.149",149,134,57,778
"result.150",150,163,52,784
"result.151",151,177,60,784
"result.152",152,158,53,778
"result.153",153,254,59,784
"result.154",154,90,46,758
"result.155",155,283,55,779
"result.156",156,220,61,778
"result.157",157,200,65,774
"result.158",158,126,38,783
"result.159",159,255,54,783
"result.160",160,152,49,773
"result.161",161,291,55,783
"result.162",162,156,56,776
"result.163",163,377,54,784
"result.164",164,203,50,784
"result.165",165,98,29,782
"result.166",166,162,41,783
"result.167",167,204,39,728
"result.168",168,130,42,782
"result.169",169,266,62,782
"result.170",170,141,46,770
"result.171",171,172,53,784
"result.172",172,271,53,780
"result.173",173,235,51,783
"result.174",174,213,62,784
"result.175",175,102,41,779
"result.176",176,277,59,772
"result.177",177,220,50,784
"result.178",178,186,55,774
"result.179",179,288,55,784
"result.180",180,161,59,778
"result.181",181,115,54,782
"result.182",182,126,56,769
"result.183",183,174,57,783
"result.184",184,166,49,781
"result.185",185,228,54,781
"result.186",186,146,48,783
"result.187",187,281,43,767
"result.188",188,136,43,780
"result.189",189,139,41,781
"result.190",190,132,48,769
"result.191",191,159,55,725
"result.192",192,171,46,783
"result.193",193,212,55,754
"result.194",194,223,63,781
"result.195",195,195,42,773
"result.196",196,152,44,782
"result.197",197,135,55,784
"result.198",198,151,41,738
"result.199",199,170,59,775
"result.200",200,131,52,764
"result.201",201,112,43,784
"result.202",202,180,50,784
"result.203",203,193,50,775
"result.204",204,345,62,783
"result.205",205,174,42,781
"result.206",206,185,49,771
"result.207",207,224,55,774
"result.208",208,146,44,783
"result.209",209,214,60,779
"result.210",210,233,52,782
"result.211",211,201,53,780
"result.212",212,201,55,766
"result.213",213,103,45,782
"result.214",214,153,56,776
"result.215",215,171,44,756
"result.216",216,128,52,784
"result.217",217,171,54,764
"result.218",218,95,40,783
"result.219",219,157,56,782
"result.220",220,211,50,744
"result.221",221,231,63,775
"result.222",222,221,55,783
"result.223",223,210,63,782
"result.224",224,163,61,771
"result.225",225,256,60,784
