"","V1","V2","V3","V4"
"result.1",1,510,46,763
"result.2",2,506,62,768
"result.3",3,511,52,770
"result.4",4,504,57,755
"result.5",5,505,65,777
"result.6",6,510,52,782
"result.7",7,510,46,782
"result.8",8,511,44,784
"result.9",9,510,38,782
"result.10",10,512,59,774
"result.11",11,504,39,763
"result.12",12,501,62,778
"result.13",13,504,55,754
"result.14",14,512,57,784
"result.15",15,512,44,773
"result.16",16,501,41,769
"result.17",17,512,51,742
"result.18",18,514,52,765
"result.19",19,515,44,778
"result.20",20,516,45,773
"result.21",21,513,61,780
"result.22",22,509,52,781
"result.23",23,505,54,780
"result.24",24,509,44,705
"result.25",25,511,61,777
"result.26",26,508,56,781
"result.27",27,504,53,750
"result.28",28,501,45,773
"result.29",29,505,55,772
"result.30",30,508,56,779
"result.31",31,503,50,746
"result.32",32,508,58,752
"result.33",33,502,51,775
"result.34",34,511,43,777
"result.35",35,507,52,784
"result.36",36,508,56,780
"result.37",37,514,43,764
"result.38",38,505,47,783
"result.39",39,502,46,773
"result.40",40,508,47,778
"result.41",41,512,52,781
"result.42",42,502,55,784
"result.43",43,505,42,741
"result.44",44,502,51,784
"result.45",45,507,54,784
"result.46",46,508,48,781
"result.47",47,505,52,784
"result.48",48,508,49,727
"result.49",49,501,57,773
"result.50",50,506,53,773
"result.51",51,502,53,774
"result.52",52,508,50,769
"result.53",53,508,60,739
"result.54",54,505,40,782
"result.55",55,520,37,741
"result.56",56,503,55,745
"result.57",57,511,54,773
"result.58",58,514,51,745
"result.59",59,515,51,772
"result.60",60,519,53,784
"result.61",61,509,66,767
"result.62",62,501,59,781
"result.63",63,512,42,753
"result.64",64,504,42,764
"result.65",65,509,56,750
"result.66",66,502,57,770
"result.67",67,511,61,784
"result.68",68,515,47,759
"result.69",69,515,52,739
"result.70",70,517,43,779
"result.71",71,511,45,777
"result.72",72,513,46,783
"result.73",73,509,42,759
"result.74",74,503,63,782
"result.75",75,506,51,735
"result.76",76,515,40,783
"result.77",77,508,48,764
"result.78",78,512,46,754
"result.79",79,518,53,756
"result.80",80,502,43,764
"result.81",81,512,49,781
"result.82",82,512,55,781
"result.83",83,507,34,744
"result.84",84,503,54,781
"result.85",85,504,52,775
"result.86",86,517,54,771
"result.87",87,508,43,783
"result.88",88,509,49,776
"result.89",89,503,58,766
