"","V1","V2","V3","V4"
"result.1",1,99,49,776
"result.2",2,65,37,783
"result.3",3,73,40,780
"result.4",4,92,48,779
"result.5",5,77,44,752
"result.6",6,149,54,778
"result.7",7,131,61,770
"result.8",8,120,57,782
"result.9",9,117,45,767
"result.10",10,65,37,689
"result.11",11,65,37,669
"result.12",12,77,51,744
"result.13",13,137,62,782
"result.14",14,120,54,774
"result.15",15,102,56,783
"result.16",16,103,45,776
"result.17",17,144,52,784
"result.18",18,87,51,784
"result.19",19,106,55,755
"result.20",20,107,44,776
"result.21",21,102,57,753
"result.22",22,127,52,777
"result.23",23,102,45,782
"result.24",24,99,56,781
"result.25",25,89,48,775
"result.26",26,93,51,777
"result.27",27,109,55,765
"result.28",28,112,57,781
"result.29",29,113,50,762
"result.30",30,146,54,778
"result.31",31,98,52,727
"result.32",32,93,53,754
"result.33",33,114,52,772
"result.34",34,111,49,779
"result.35",35,106,60,778
"result.36",36,86,51,784
"result.37",37,121,51,762
"result.38",38,107,53,784
"result.39",39,96,54,764
"result.40",40,137,54,782
"result.41",41,111,48,780
"result.42",42,77,43,782
"result.43",43,149,59,783
"result.44",44,112,52,759
"result.45",45,155,53,783
"result.46",46,98,47,702
"result.47",47,111,47,784
"result.48",48,155,61,767
"result.49",49,108,36,762
"result.50",50,119,64,776
"result.51",51,90,43,783
"result.52",52,109,52,773
"result.53",53,70,39,780
"result.54",54,95,39,777
"result.55",55,102,55,783
"result.56",56,99,53,781
"result.57",57,128,57,784
"result.58",58,139,50,758
"result.59",59,85,47,783
"result.60",60,98,47,760
"result.61",61,112,54,770
"result.62",62,84,41,778
"result.63",63,115,50,776
"result.64",64,137,54,762
"result.65",65,123,51,784
"result.66",66,81,47,783
"result.67",67,92,41,726
"result.68",68,136,58,781
"result.69",69,138,50,780
"result.70",70,106,42,784
"result.71",71,140,66,782
"result.72",72,96,50,784
"result.73",73,108,47,780
"result.74",74,117,57,784
"result.75",75,81,46,755
"result.76",76,120,51,783
"result.77",77,141,51,784
"result.78",78,100,45,776
"result.79",79,94,50,774
"result.80",80,113,57,764
