"","V1","V2","V3","V4"
"result.1",1,232,56,764
"result.2",2,266,63,771
"result.3",3,387,49,784
"result.4",4,145,59,782
"result.5",5,225,41,739
"result.6",6,299,52,769
"result.7",7,250,49,783
"result.8",8,296,74,783
"result.9",9,156,51,783
"result.10",10,117,48,777
"result.11",11,179,46,783
"result.12",12,220,46,773
"result.13",13,183,53,784
"result.14",14,314,61,782
"result.15",15,221,61,782
"result.16",16,204,52,783
"result.17",17,216,46,767
"result.18",18,209,49,757
"result.19",19,192,42,784
"result.20",20,363,56,759
"result.21",21,386,68,782
"result.22",22,190,51,784
"result.23",23,347,54,783
"result.24",24,141,44,773
"result.25",25,198,48,783
"result.26",26,264,56,783
"result.27",27,147,48,757
"result.28",28,282,49,784
"result.29",29,260,40,784
"result.30",30,144,41,783
"result.31",31,310,49,784
"result.32",32,206,52,775
"result.33",33,190,43,769
"result.34",34,226,48,784
"result.35",35,98,48,773
"result.36",36,102,43,782
"result.37",37,245,49,778
"result.38",38,152,44,782
"result.39",39,119,38,780
"result.40",40,227,56,779
"result.41",41,217,62,783
"result.42",42,194,50,774
"result.43",43,232,60,783
"result.44",44,268,54,776
"result.45",45,177,51,777
"result.46",46,233,57,784
"result.47",47,199,53,755
"result.48",48,129,39,737
"result.49",49,189,53,774
"result.50",50,226,54,784
"result.51",51,231,48,778
"result.52",52,226,64,777
"result.53",53,183,55,784
"result.54",54,164,47,776
"result.55",55,197,48,784
"result.56",56,299,44,782
"result.57",57,201,46,773
"result.58",58,187,48,781
"result.59",59,150,50,778
"result.60",60,257,46,774
"result.61",61,191,45,779
"result.62",62,371,60,783
"result.63",63,202,54,781
"result.64",64,501,65,776
"result.65",65,331,57,782
"result.66",66,356,64,758
"result.67",67,320,48,783
"result.68",68,105,38,753
"result.69",69,269,44,782
"result.70",70,208,59,784
"result.71",71,335,54,781
"result.72",72,203,54,776
"result.73",73,246,46,784
"result.74",74,309,62,784
"result.75",75,160,47,777
"result.76",76,171,54,783
"result.77",77,307,64,783
"result.78",78,187,55,784
"result.79",79,212,50,780
"result.80",80,224,50,783
"result.81",81,151,46,784
"result.82",82,176,48,782
"result.83",83,200,43,727
"result.84",84,338,41,784
"result.85",85,276,56,782
"result.86",86,177,58,784
"result.87",87,141,51,715
"result.88",88,233,57,779
"result.89",89,193,53,777
"result.90",90,271,52,784
"result.91",91,191,36,775
"result.92",92,147,45,783
"result.93",93,93,41,782
"result.94",94,195,39,780
"result.95",95,223,47,771
"result.96",96,148,39,784
"result.97",97,161,48,783
"result.98",98,118,39,768
"result.99",99,248,55,783
"result.100",100,207,55,784
"result.101",101,335,55,780
"result.102",102,217,49,767
"result.103",103,303,55,778
"result.104",104,129,43,767
"result.105",105,418,46,776
"result.106",106,109,42,756
"result.107",107,248,50,784
"result.108",108,106,37,779
"result.109",109,307,59,762
"result.110",110,259,57,767
"result.111",111,146,43,782
"result.112",112,191,52,775
"result.113",113,167,51,760
"result.114",114,172,49,779
"result.115",115,343,59,784
"result.116",116,131,49,784
"result.117",117,182,46,781
"result.118",118,153,32,784
"result.119",119,141,50,783
"result.120",120,130,40,771
"result.121",121,319,61,784
"result.122",122,201,54,780
"result.123",123,239,52,766
"result.124",124,311,55,784
"result.125",125,160,52,783
"result.126",126,242,46,784
"result.127",127,195,51,780
"result.128",128,238,48,780
"result.129",129,316,64,783
"result.130",130,339,49,784
"result.131",131,197,49,729
"result.132",132,264,51,781
"result.133",133,198,50,781
"result.134",134,159,44,776
"result.135",135,199,47,750
"result.136",136,154,54,764
"result.137",137,229,50,763
"result.138",138,165,45,777
"result.139",139,428,44,781
"result.140",140,331,67,781
"result.141",141,160,52,734
"result.142",142,259,60,780
"result.143",143,208,53,777
"result.144",144,270,57,782
"result.145",145,216,45,777
"result.146",146,246,44,782
"result.147",147,234,51,776
"result.148",148,353,64,776
"result.149",149,182,47,779
"result.150",150,219,45,779
"result.151",151,236,41,749
"result.152",152,146,43,784
"result.153",153,196,46,777
"result.154",154,226,59,781
"result.155",155,151,45,779
"result.156",156,312,49,781
"result.157",157,281,54,766
"result.158",158,147,47,775
"result.159",159,153,50,784
"result.160",160,135,50,783
"result.161",161,186,54,778
"result.162",162,195,54,782
"result.163",163,225,57,783
"result.164",164,113,49,784
