"","V1","V2","V3","V4"
"result.1",1,74,54,770
"result.2",2,60,50,773
"result.3",3,54,46,780
"result.4",4,57,47,718
"result.5",5,72,59,771
"result.6",6,80,55,782
"result.7",7,55,47,773
"result.8",8,67,59,774
"result.9",9,53,38,752
"result.10",10,51,42,760
"result.11",11,46,37,782
"result.12",12,51,44,783
"result.13",13,72,51,782
"result.14",14,64,51,778
"result.15",15,70,59,781
"result.16",16,61,46,783
"result.17",17,50,45,768
"result.18",18,81,68,784
"result.19",19,72,54,783
"result.20",20,75,68,779
"result.21",21,55,47,782
"result.22",22,49,35,760
"result.23",23,70,58,769
"result.24",24,77,52,757
"result.25",25,93,70,777
"result.26",26,64,45,762
"result.27",27,77,62,776
"result.28",28,66,49,779
"result.29",29,59,53,759
"result.30",30,72,57,772
"result.31",31,67,57,734
"result.32",32,73,52,773
"result.33",33,71,58,779
"result.34",34,76,58,779
"result.35",35,52,48,783
"result.36",36,66,47,782
"result.37",37,83,58,755
"result.38",38,58,49,782
"result.39",39,46,38,764
"result.40",40,82,49,775
"result.41",41,57,45,745
"result.42",42,74,66,751
"result.43",43,54,39,744
"result.44",44,57,43,747
"result.45",45,57,42,782
"result.46",46,57,49,773
"result.47",47,53,45,779
"result.48",48,51,43,765
"result.49",49,55,51,782
"result.50",50,78,62,784
"result.51",51,87,57,781
"result.52",52,68,52,759
"result.53",53,68,52,759
"result.54",54,36,34,758
"result.55",55,50,45,773
"result.56",56,57,40,745
"result.57",57,74,48,776
"result.58",58,76,52,779
"result.59",59,50,44,783
"result.60",60,64,52,719
"result.61",61,72,62,783
"result.62",62,68,50,776
"result.63",63,70,53,782
"result.64",64,71,57,747
"result.65",65,53,45,761
"result.66",66,49,42,777
"result.67",67,66,49,783
"result.68",68,74,65,764
"result.69",69,78,47,782
"result.70",70,60,54,783
"result.71",71,50,44,779
"result.72",72,69,56,783
"result.73",73,66,56,766
"result.74",74,50,46,754
"result.75",75,75,45,772
"result.76",76,54,45,765
"result.77",77,60,51,779
"result.78",78,53,41,784
"result.79",79,74,57,752
"result.80",80,71,59,762
"result.81",81,67,52,761
"result.82",82,64,52,769
"result.83",83,80,64,753
"result.84",84,73,53,782
"result.85",85,63,55,777
"result.86",86,76,55,767
"result.87",87,71,52,784
"result.88",88,66,54,780
"result.89",89,102,67,776
"result.90",90,52,44,768
"result.91",91,56,46,751
"result.92",92,78,57,784
"result.93",93,64,49,778
"result.94",94,62,42,784
"result.95",95,57,46,783
"result.96",96,49,40,772
"result.97",97,66,50,783
"result.98",98,55,44,763
"result.99",99,57,49,771
"result.100",100,67,37,784
"result.101",101,56,54,784
"result.102",102,64,51,771
"result.103",103,58,43,783
"result.104",104,65,55,777
"result.105",105,64,42,750
"result.106",106,77,54,753
"result.107",107,58,49,783
"result.108",108,72,53,746
"result.109",109,52,43,778
"result.110",110,77,63,784
"result.111",111,83,58,777
"result.112",112,67,52,758
"result.113",113,76,61,779
"result.114",114,53,49,779
"result.115",115,72,54,783
"result.116",116,47,38,762
"result.117",117,81,66,781
"result.118",118,91,62,766
"result.119",119,62,53,756
"result.120",120,62,59,767
"result.121",121,79,54,771
"result.122",122,61,56,749
"result.123",123,66,53,783
"result.124",124,80,57,768
"result.125",125,84,62,774
"result.126",126,80,61,774
"result.127",127,55,50,782
"result.128",128,73,56,773
"result.129",129,69,56,784
"result.130",130,61,45,755
"result.131",131,42,38,740
"result.132",132,68,60,774
"result.133",133,64,54,763
"result.134",134,50,41,774
"result.135",135,55,47,784
"result.136",136,52,48,780
"result.137",137,66,47,773
"result.138",138,57,48,756
"result.139",139,67,61,783
"result.140",140,70,47,783
"result.141",141,81,57,779
"result.142",142,85,58,781
"result.143",143,71,51,762
"result.144",144,65,54,782
"result.145",145,38,35,760
"result.146",146,61,51,782
"result.147",147,76,54,783
"result.148",148,46,38,730
"result.149",149,55,44,766
"result.150",150,65,47,766
"result.151",151,50,41,783
"result.152",152,50,38,693
"result.153",153,50,45,769
"result.154",154,71,56,766
"result.155",155,64,53,750
"result.156",156,75,59,784
"result.157",157,65,50,774
"result.158",158,68,58,780
"result.159",159,62,41,697
"result.160",160,58,56,781
"result.161",161,66,52,781
