"","V1","V2","V3","V4"
"result.1",1,78,61,784
"result.2",2,59,47,783
"result.3",3,75,51,777
"result.4",4,43,34,781
"result.5",5,63,55,767
"result.6",6,57,48,763
"result.7",7,59,48,773
"result.8",8,56,52,767
"result.9",9,68,54,781
"result.10",10,64,48,752
"result.11",11,64,54,779
"result.12",12,47,37,778
"result.13",13,73,61,775
"result.14",14,63,55,781
"result.15",15,68,60,773
"result.16",16,63,52,782
"result.17",17,62,49,784
"result.18",18,62,51,753
"result.19",19,55,46,783
"result.20",20,72,59,773
"result.21",21,57,47,782
"result.22",22,84,52,781
"result.23",23,65,54,775
"result.24",24,49,39,740
"result.25",25,56,47,768
"result.26",26,66,55,784
"result.27",27,70,56,780
"result.28",28,65,51,774
"result.29",29,54,44,780
"result.30",30,64,46,768
"result.31",31,65,57,784
"result.32",32,65,53,779
"result.33",33,43,39,766
"result.34",34,54,42,704
"result.35",35,53,46,774
"result.36",36,60,52,769
"result.37",37,71,55,775
"result.38",38,60,48,772
"result.39",39,66,53,773
"result.40",40,50,45,775
"result.41",41,62,49,764
"result.42",42,61,49,744
"result.43",43,68,49,772
"result.44",44,72,57,775
"result.45",45,55,47,783
"result.46",46,71,58,782
"result.47",47,86,54,770
"result.48",48,64,51,782
"result.49",49,62,43,760
"result.50",50,51,41,779
"result.51",51,59,45,775
"result.52",52,75,61,781
"result.53",53,55,46,762
"result.54",54,71,50,769
"result.55",55,84,66,783
"result.56",56,55,44,780
"result.57",57,62,48,733
"result.58",58,50,48,781
"result.59",59,59,54,752
"result.60",60,86,61,784
"result.61",61,55,41,739
"result.62",62,67,51,766
"result.63",63,56,49,779
"result.64",64,63,52,771
"result.65",65,78,64,779
"result.66",66,53,48,771
"result.67",67,64,54,783
"result.68",68,63,52,776
"result.69",69,51,41,761
"result.70",70,70,61,784
"result.71",71,47,38,743
"result.72",72,65,55,738
"result.73",73,59,46,769
"result.74",74,67,49,781
"result.75",75,78,57,784
"result.76",76,54,45,771
"result.77",77,53,42,779
"result.78",78,58,52,764
"result.79",79,61,52,773
"result.80",80,45,40,783
"result.81",81,63,57,783
"result.82",82,54,38,771
"result.83",83,66,56,761
"result.84",84,50,41,778
"result.85",85,57,44,736
"result.86",86,68,50,754
"result.87",87,64,49,784
"result.88",88,58,49,784
"result.89",89,68,54,778
"result.90",90,64,57,774
"result.91",91,53,48,773
"result.92",92,57,45,757
"result.93",93,67,58,758
"result.94",94,60,44,781
"result.95",95,65,56,784
"result.96",96,69,49,779
"result.97",97,103,71,748
"result.98",98,72,59,782
"result.99",99,88,72,770
"result.100",100,69,55,780
"result.101",101,98,63,784
"result.102",102,61,51,740
"result.103",103,57,50,773
"result.104",104,65,56,774
"result.105",105,50,43,763
"result.106",106,71,50,783
"result.107",107,51,44,778
"result.108",108,56,44,784
"result.109",109,64,44,783
"result.110",110,46,42,773
"result.111",111,54,47,759
"result.112",112,63,52,715
"result.113",113,61,52,780
"result.114",114,60,42,753
"result.115",115,66,56,774
"result.116",116,51,46,776
"result.117",117,54,47,777
"result.118",118,58,52,782
"result.119",119,67,54,780
"result.120",120,56,55,780
"result.121",121,49,39,727
"result.122",122,81,73,751
"result.123",123,78,60,775
"result.124",124,58,46,770
"result.125",125,73,52,731
"result.126",126,66,54,776
"result.127",127,73,54,784
"result.128",128,72,52,769
"result.129",129,82,60,764
"result.130",130,59,48,752
"result.131",131,51,36,765
"result.132",132,50,43,780
"result.133",133,78,52,779
"result.134",134,67,55,771
"result.135",135,56,46,747
"result.136",136,57,50,778
"result.137",137,56,52,784
"result.138",138,57,53,766
"result.139",139,70,49,746
"result.140",140,63,56,780
"result.141",141,74,64,760
"result.142",142,79,64,778
"result.143",143,67,52,776
"result.144",144,61,54,782
"result.145",145,70,55,776
"result.146",146,59,42,769
"result.147",147,75,57,769
"result.148",148,61,52,775
"result.149",149,53,48,782
"result.150",150,57,52,769
"result.151",151,52,43,781
"result.152",152,62,51,771
"result.153",153,71,52,766
"result.154",154,62,52,773
"result.155",155,61,41,783
"result.156",156,59,48,770
"result.157",157,56,43,758
"result.158",158,75,64,771
"result.159",159,52,42,769
"result.160",160,75,55,766
"result.161",161,53,45,777
"result.162",162,67,52,775
"result.163",163,70,63,777
"result.164",164,56,51,776
"result.165",165,48,45,779
"result.166",166,70,57,780
"result.167",167,64,55,780
"result.168",168,68,55,763
"result.169",169,47,45,771
"result.170",170,32,28,729
"result.171",171,67,47,766
"result.172",172,54,48,759
"result.173",173,68,54,763
"result.174",174,72,61,773
"result.175",175,54,46,781
"result.176",176,61,52,783
"result.177",177,67,54,744
"result.178",178,53,44,764
"result.179",179,94,57,728
"result.180",180,60,52,771
"result.181",181,61,47,782
"result.182",182,63,50,767
"result.183",183,56,49,769
"result.184",184,67,54,778
"result.185",185,43,37,744
"result.186",186,78,56,779
"result.187",187,49,46,760
"result.188",188,52,43,750
"result.189",189,59,49,777
"result.190",190,79,59,769
"result.191",191,58,47,781
"result.192",192,69,58,780
"result.193",193,71,59,770
"result.194",194,53,46,783
"result.195",195,90,67,776
"result.196",196,64,48,774
"result.197",197,82,65,777
"result.198",198,68,50,780
"result.199",199,72,58,742
"result.200",200,54,53,778
"result.201",201,46,45,771
"result.202",202,72,44,723
"result.203",203,68,51,777
"result.204",204,66,51,782
"result.205",205,59,41,784
"result.206",206,62,54,726
"result.207",207,46,44,758
"result.208",208,66,47,774
"result.209",209,86,68,781
"result.210",210,66,59,773
"result.211",211,61,53,784
"result.212",212,55,48,784
"result.213",213,77,56,770
"result.214",214,67,52,770
"result.215",215,52,42,762
"result.216",216,62,50,780
"result.217",217,72,61,779
"result.218",218,66,50,760
"result.219",219,55,45,780
"result.220",220,68,59,776
"result.221",221,84,65,782
"result.222",222,66,51,768
"result.223",223,59,54,772
"result.224",224,64,47,780
"result.225",225,78,62,770
"result.226",226,43,42,757
"result.227",227,63,47,757
"result.228",228,62,49,781
"result.229",229,68,43,758
"result.230",230,61,55,751
"result.231",231,90,61,763
"result.232",232,42,38,759
"result.233",233,77,59,774
"result.234",234,62,48,778
"result.235",235,66,49,750
"result.236",236,68,47,770
"result.237",237,55,45,775
"result.238",238,81,64,764
"result.239",239,61,46,751
"result.240",240,68,56,784
"result.241",241,35,34,777
"result.242",242,61,44,739
"result.243",243,72,55,778
"result.244",244,60,47,772
"result.245",245,77,56,780
"result.246",246,69,54,773
"result.247",247,73,51,782
"result.248",248,56,49,742
"result.249",249,56,48,770
"result.250",250,36,33,687
"result.251",251,49,37,781
"result.252",252,53,47,779
"result.253",253,47,38,783
"result.254",254,62,50,782
"result.255",255,82,51,774
"result.256",256,59,50,766
"result.257",257,68,60,768
"result.258",258,50,45,747
"result.259",259,66,57,778
"result.260",260,47,35,764
"result.261",261,47,37,783
"result.262",262,51,44,760
"result.263",263,73,57,755
"result.264",264,68,55,784
"result.265",265,57,53,740
"result.266",266,66,52,780
"result.267",267,63,53,779
"result.268",268,72,61,783
"result.269",269,41,36,773
"result.270",270,78,57,734
"result.271",271,56,46,761
"result.272",272,69,54,752
"result.273",273,52,48,781
"result.274",274,56,50,772
"result.275",275,65,58,770
"result.276",276,64,52,780
"result.277",277,65,51,775
"result.278",278,65,51,780
"result.279",279,55,49,784
"result.280",280,66,51,770
"result.281",281,63,44,732
"result.282",282,67,47,736
"result.283",283,76,56,780
"result.284",284,68,55,768
"result.285",285,69,58,747
"result.286",286,51,44,770
"result.287",287,64,54,774
"result.288",288,56,51,770
"result.289",289,73,55,774
"result.290",290,65,51,776
"result.291",291,79,60,766
"result.292",292,72,58,748
"result.293",293,52,45,725
"result.294",294,71,55,783
"result.295",295,55,50,766
"result.296",296,70,52,783
"result.297",297,92,59,782
"result.298",298,66,44,773
"result.299",299,60,48,750
"result.300",300,76,65,784
"result.301",301,64,51,782
"result.302",302,66,45,779
"result.303",303,50,42,768
"result.304",304,72,52,761
"result.305",305,47,38,724
"result.306",306,57,46,745
"result.307",307,74,53,783
"result.308",308,56,48,784
"result.309",309,62,52,766
"result.310",310,57,43,782
"result.311",311,70,53,777
"result.312",312,47,43,772
"result.313",313,85,74,778
"result.314",314,62,51,764
"result.315",315,51,46,773
"result.316",316,48,42,756
"result.317",317,48,43,769
"result.318",318,66,53,731
"result.319",319,52,44,778
"result.320",320,82,64,771
"result.321",321,61,53,781
"result.322",322,63,56,778
"result.323",323,68,56,783
"result.324",324,52,46,781
"result.325",325,64,45,784
"result.326",326,65,55,781
"result.327",327,57,44,758
"result.328",328,81,63,767
"result.329",329,60,47,778
"result.330",330,64,47,759
"result.331",331,82,64,776
"result.332",332,62,56,783
"result.333",333,76,64,782
"result.334",334,38,33,760
"result.335",335,55,52,763
"result.336",336,68,57,752
"result.337",337,61,48,751
"result.338",338,53,45,760
"result.339",339,65,56,784
"result.340",340,77,51,783
"result.341",341,56,45,781
"result.342",342,69,50,770
"result.343",343,57,52,755
"result.344",344,58,49,725
"result.345",345,71,52,783
"result.346",346,70,55,777
"result.347",347,69,50,773
"result.348",348,65,55,767
"result.349",349,47,43,782
"result.350",350,75,53,775
"result.351",351,55,49,774
"result.352",352,70,62,762
"result.353",353,67,53,770
"result.354",354,82,54,784
"result.355",355,84,65,772
"result.356",356,47,40,727
"result.357",357,65,58,784
"result.358",358,68,60,761
"result.359",359,67,51,771
"result.360",360,65,54,760
"result.361",361,52,43,781
"result.362",362,60,58,784
"result.363",363,55,50,782
"result.364",364,52,43,777
"result.365",365,63,52,740
"result.366",366,59,50,782
"result.367",367,58,54,781
"result.368",368,60,44,773
"result.369",369,53,52,771
"result.370",370,75,55,780
"result.371",371,78,69,771
"result.372",372,53,41,784
"result.373",373,64,54,759
"result.374",374,57,48,754
"result.375",375,49,45,745
"result.376",376,83,60,758
"result.377",377,83,67,773
"result.378",378,60,53,730
"result.379",379,63,56,782
"result.380",380,48,42,784
"result.381",381,68,52,774
"result.382",382,61,50,758
"result.383",383,70,63,765
"result.384",384,74,58,783
"result.385",385,60,54,782
"result.386",386,53,45,774
"result.387",387,52,45,774
"result.388",388,72,61,784
"result.389",389,49,42,752
"result.390",390,68,50,760
"result.391",391,64,45,768
"result.392",392,51,40,759
"result.393",393,76,51,756
"result.394",394,70,56,782
"result.395",395,57,49,777
"result.396",396,58,45,762
"result.397",397,59,49,766
"result.398",398,79,65,782
"result.399",399,67,53,776
"result.400",400,59,51,765
"result.401",401,52,43,742
"result.402",402,74,57,784
"result.403",403,63,58,768
"result.404",404,49,45,773
"result.405",405,56,45,784
"result.406",406,67,52,756
"result.407",407,52,44,779
"result.408",408,71,63,781
"result.409",409,65,50,746
"result.410",410,76,64,777
"result.411",411,65,59,777
"result.412",412,72,58,783
"result.413",413,50,44,736
"result.414",414,49,44,779
"result.415",415,49,42,763
"result.416",416,51,39,780
"result.417",417,79,58,781
"result.418",418,63,50,772
"result.419",419,60,48,769
"result.420",420,82,56,777
"result.421",421,66,54,782
"result.422",422,63,60,784
"result.423",423,75,59,763
"result.424",424,85,63,783
"result.425",425,77,56,763
"result.426",426,64,45,777
"result.427",427,39,34,784
"result.428",428,69,48,783
"result.429",429,90,63,777
"result.430",430,66,58,778
"result.431",431,61,47,762
"result.432",432,80,61,771
"result.433",433,65,58,768
"result.434",434,74,63,775
"result.435",435,58,54,780
"result.436",436,93,62,767
"result.437",437,58,48,779
"result.438",438,63,48,764
"result.439",439,92,50,771
"result.440",440,58,52,784
"result.441",441,66,60,782
"result.442",442,62,50,780
"result.443",443,63,53,783
"result.444",444,77,60,782
"result.445",445,48,42,767
"result.446",446,59,48,778
"result.447",447,51,39,772
"result.448",448,57,52,777
"result.449",449,60,51,741
"result.450",450,83,60,783
"result.451",451,57,49,780
"result.452",452,52,46,783
"result.453",453,73,60,783
"result.454",454,74,58,783
"result.455",455,71,55,769
"result.456",456,93,75,777
"result.457",457,55,50,769
"result.458",458,62,42,766
"result.459",459,61,45,730
"result.460",460,85,43,742
"result.461",461,79,55,778
"result.462",462,62,52,784
"result.463",463,79,57,783
"result.464",464,72,49,771
"result.465",465,74,55,783
"result.466",466,66,47,726
"result.467",467,72,57,768
"result.468",468,75,63,784
"result.469",469,53,48,773
"result.470",470,56,50,765
"result.471",471,75,45,716
"result.472",472,70,49,784
"result.473",473,48,46,777
"result.474",474,76,62,784
"result.475",475,52,42,759
"result.476",476,68,52,778
"result.477",477,55,39,760
"result.478",478,47,45,774
"result.479",479,76,58,769
"result.480",480,69,51,774
"result.481",481,60,51,776
"result.482",482,49,45,771
"result.483",483,57,46,746
"result.484",484,53,39,776
"result.485",485,82,51,775
"result.486",486,94,71,756
"result.487",487,75,54,761
"result.488",488,93,67,758
"result.489",489,57,49,775
"result.490",490,77,64,775
"result.491",491,59,43,775
"result.492",492,70,53,781
"result.493",493,69,51,781
"result.494",494,74,52,772
"result.495",495,52,42,774
"result.496",496,69,51,784
"result.497",497,65,43,779
