"","V1","V2","V3","V4"
"result.1",1,357,48,777
"result.2",2,132,49,784
"result.3",3,244,46,784
"result.4",4,289,47,784
"result.5",5,362,53,783
"result.6",6,357,67,784
"result.7",7,169,40,772
"result.8",8,462,53,772
"result.9",9,336,52,784
"result.10",10,241,43,736
"result.11",11,385,48,774
"result.12",12,215,41,784
"result.13",13,412,48,783
"result.14",14,488,45,784
"result.15",15,253,48,780
"result.16",16,427,48,784
"result.17",17,501,43,781
"result.18",18,259,46,765
"result.19",19,433,44,784
"result.20",20,192,44,766
"result.21",21,193,56,773
"result.22",22,338,59,755
"result.23",23,501,63,732
"result.24",24,429,57,784
"result.25",25,487,58,784
"result.26",26,501,47,784
"result.27",27,501,51,783
"result.28",28,340,53,782
"result.29",29,320,45,783
"result.30",30,312,51,783
"result.31",31,402,49,781
"result.32",32,252,43,784
"result.33",33,501,51,769
"result.34",34,487,49,775
"result.35",35,161,39,784
"result.36",36,502,44,772
"result.37",37,249,34,779
"result.38",38,259,39,782
"result.39",39,264,46,784
"result.40",40,504,59,774
"result.41",41,215,50,771
"result.42",42,256,59,763
"result.43",43,250,43,745
"result.44",44,454,45,784
"result.45",45,285,50,777
"result.46",46,327,52,784
"result.47",47,148,39,784
"result.48",48,265,58,766
"result.49",49,269,54,784
"result.50",50,401,35,784
"result.51",51,399,49,783
"result.52",52,303,58,782
"result.53",53,502,54,762
"result.54",54,208,42,783
"result.55",55,475,47,784
"result.56",56,424,58,784
"result.57",57,315,51,783
"result.58",58,315,55,784
"result.59",59,119,35,780
"result.60",60,454,50,781
"result.61",61,223,54,783
"result.62",62,295,49,784
"result.63",63,278,49,766
"result.64",64,291,42,784
"result.65",65,502,60,748
"result.66",66,341,41,784
"result.67",67,228,37,783
"result.68",68,503,41,754
"result.69",69,328,52,784
"result.70",70,279,57,784
"result.71",71,499,58,784
"result.72",72,457,46,784
"result.73",73,195,40,737
"result.74",74,501,56,783
"result.75",75,400,61,782
"result.76",76,460,50,782
"result.77",77,441,48,782
"result.78",78,423,43,774
"result.79",79,431,51,784
"result.80",80,247,46,781
"result.81",81,212,44,783
"result.82",82,502,71,781
"result.83",83,412,50,768
"result.84",84,503,48,769
"result.85",85,501,60,768
"result.86",86,285,42,784
"result.87",87,348,56,781
"result.88",88,316,48,781
"result.89",89,501,62,783
"result.90",90,487,65,783
"result.91",91,394,48,783
"result.92",92,432,52,783
"result.93",93,336,54,783
"result.94",94,386,54,782
"result.95",95,179,46,742
"result.96",96,358,55,782
"result.97",97,397,46,783
"result.98",98,502,45,774
"result.99",99,424,58,783
"result.100",100,476,54,784
"result.101",101,345,54,781
"result.102",102,502,51,779
"result.103",103,410,51,783
"result.104",104,475,52,783
"result.105",105,375,46,784
"result.106",106,409,48,778
"result.107",107,436,55,784
"result.108",108,414,57,782
"result.109",109,501,52,769
"result.110",110,387,37,784
"result.111",111,389,43,784
"result.112",112,153,56,782
"result.113",113,502,52,777
"result.114",114,426,51,781
"result.115",115,494,55,784
"result.116",116,502,52,772
"result.117",117,503,61,781
"result.118",118,327,57,784
"result.119",119,247,53,784
"result.120",120,231,47,784
"result.121",121,272,38,783
"result.122",122,244,49,771
"result.123",123,240,48,781
"result.124",124,361,44,765
"result.125",125,289,54,784
"result.126",126,329,51,784
"result.127",127,275,39,783
"result.128",128,259,43,783
"result.129",129,501,70,773
"result.130",130,232,52,769
"result.131",131,357,67,783
"result.132",132,253,44,773
"result.133",133,268,55,783
"result.134",134,304,49,784
"result.135",135,453,56,784
"result.136",136,359,50,784
"result.137",137,337,51,784
"result.138",138,404,49,757
"result.139",139,395,46,784
"result.140",140,290,53,783
"result.141",141,344,62,783
"result.142",142,331,39,784
"result.143",143,410,46,783
"result.144",144,501,56,781
"result.145",145,134,42,781
"result.146",146,280,51,783
"result.147",147,329,47,784
"result.148",148,319,60,783
"result.149",149,241,41,782
"result.150",150,350,62,784
"result.151",151,266,51,784
"result.152",152,441,67,768
"result.153",153,502,78,774
"result.154",154,417,52,783
"result.155",155,499,54,784
"result.156",156,501,58,767
"result.157",157,321,56,784
"result.158",158,330,47,781
"result.159",159,501,55,784
"result.160",160,181,44,759
"result.161",161,486,56,765
"result.162",162,257,46,777
"result.163",163,251,38,784
"result.164",164,250,58,775
"result.165",165,416,54,782
"result.166",166,249,42,784
"result.167",167,257,46,784
"result.168",168,501,51,776
"result.169",169,316,48,783
"result.170",170,167,41,746
"result.171",171,358,43,781
"result.172",172,440,54,784
"result.173",173,501,50,778
"result.174",174,493,56,770
"result.175",175,338,48,784
"result.176",176,501,57,766
"result.177",177,340,49,774
"result.178",178,366,49,784
"result.179",179,345,53,782
"result.180",180,130,36,784
"result.181",181,199,47,784
"result.182",182,258,36,784
"result.183",183,468,37,756
"result.184",184,296,48,783
"result.185",185,373,55,777
"result.186",186,501,52,768
"result.187",187,294,46,763
"result.188",188,263,63,782
"result.189",189,465,47,782
"result.190",190,503,62,777
"result.191",191,482,52,783
"result.192",192,363,56,784
"result.193",193,338,47,784
"result.194",194,502,59,741
"result.195",195,374,42,773
"result.196",196,385,52,784
"result.197",197,306,46,781
"result.198",198,501,51,781
"result.199",199,412,38,784
"result.200",200,332,57,765
"result.201",201,367,48,768
"result.202",202,502,55,782
"result.203",203,144,43,775
"result.204",204,239,50,781
"result.205",205,323,41,782
"result.206",206,501,51,778
"result.207",207,501,44,784
"result.208",208,241,47,781
"result.209",209,358,57,781
"result.210",210,366,44,780
"result.211",211,232,46,780
"result.212",212,308,58,782
"result.213",213,501,43,760
"result.214",214,307,50,777
"result.215",215,370,52,772
"result.216",216,339,53,784
"result.217",217,453,51,784
"result.218",218,424,58,784
"result.219",219,502,53,766
"result.220",220,415,63,783
"result.221",221,291,50,772
"result.222",222,498,48,779
"result.223",223,255,51,784
"result.224",224,502,57,772
"result.225",225,223,51,783
"result.226",226,282,51,783
"result.227",227,455,43,783
"result.228",228,430,45,779
"result.229",229,292,43,777
"result.230",230,220,51,782
"result.231",231,152,36,745
"result.232",232,316,46,778
"result.233",233,317,51,783
"result.234",234,273,52,784
"result.235",235,325,45,780
"result.236",236,236,48,784
"result.237",237,348,52,782
"result.238",238,340,59,781
"result.239",239,447,52,784
"result.240",240,501,45,733
"result.241",241,450,46,784
"result.242",242,501,54,773
"result.243",243,502,49,769
"result.244",244,333,44,776
"result.245",245,313,47,773
"result.246",246,349,48,783
"result.247",247,372,48,784
"result.248",248,437,44,781
"result.249",249,207,55,781
"result.250",250,285,51,784
"result.251",251,484,57,781
"result.252",252,428,51,779
"result.253",253,501,49,754
"result.254",254,501,47,758
"result.255",255,351,61,784
"result.256",256,415,48,784
"result.257",257,469,49,768
"result.258",258,284,46,784
"result.259",259,322,47,782
"result.260",260,501,55,780
"result.261",261,295,47,779
"result.262",262,387,53,778
"result.263",263,468,48,784
"result.264",264,319,41,783
"result.265",265,236,58,739
"result.266",266,298,47,784
"result.267",267,400,60,784
"result.268",268,501,57,781
"result.269",269,328,45,784
"result.270",270,502,52,769
