"","V1","V2","V3","V4"
"result.1",1,224,56,781
"result.2",2,211,47,770
"result.3",3,275,58,784
"result.4",4,219,49,783
"result.5",5,225,61,783
"result.6",6,134,40,777
"result.7",7,502,55,760
"result.8",8,348,51,759
"result.9",9,308,52,784
"result.10",10,327,58,762
"result.11",11,162,45,783
"result.12",12,285,50,784
"result.13",13,328,37,781
"result.14",14,229,57,769
"result.15",15,255,47,778
"result.16",16,100,37,748
"result.17",17,293,46,784
"result.18",18,202,47,784
"result.19",19,294,47,770
"result.20",20,256,52,781
"result.21",21,275,55,784
"result.22",22,236,46,784
"result.23",23,313,56,784
"result.24",24,199,53,762
"result.25",25,258,60,764
"result.26",26,280,51,782
"result.27",27,161,43,784
"result.28",28,165,41,782
"result.29",29,309,52,783
"result.30",30,120,43,784
"result.31",31,333,50,784
"result.32",32,328,51,763
"result.33",33,214,44,782
"result.34",34,172,40,782
"result.35",35,211,51,782
"result.36",36,214,38,773
"result.37",37,386,51,779
"result.38",38,142,43,783
"result.39",39,279,57,777
"result.40",40,155,52,780
"result.41",41,374,48,778
"result.42",42,125,43,784
"result.43",43,239,49,776
"result.44",44,175,39,769
"result.45",45,220,52,782
"result.46",46,303,44,783
"result.47",47,275,68,784
"result.48",48,406,49,781
"result.49",49,122,50,756
"result.50",50,401,61,784
"result.51",51,259,42,783
"result.52",52,302,47,782
"result.53",53,441,47,723
"result.54",54,443,59,753
"result.55",55,246,46,780
"result.56",56,290,47,776
"result.57",57,314,64,783
"result.58",58,180,45,781
"result.59",59,351,43,783
"result.60",60,277,44,778
"result.61",61,246,59,784
"result.62",62,154,45,776
"result.63",63,253,47,783
"result.64",64,164,47,783
"result.65",65,312,44,783
"result.66",66,412,61,782
"result.67",67,248,54,784
"result.68",68,231,53,775
"result.69",69,279,56,784
"result.70",70,201,55,784
"result.71",71,273,64,783
"result.72",72,133,45,778
"result.73",73,314,56,782
"result.74",74,131,46,744
"result.75",75,217,51,759
"result.76",76,196,38,767
"result.77",77,337,57,779
"result.78",78,359,52,781
"result.79",79,335,50,784
"result.80",80,405,56,770
"result.81",81,501,58,784
"result.82",82,341,62,784
"result.83",83,287,53,784
"result.84",84,178,49,784
"result.85",85,230,55,778
"result.86",86,247,44,746
"result.87",87,401,56,779
"result.88",88,353,45,781
"result.89",89,313,61,782
"result.90",90,158,44,772
"result.91",91,276,54,784
"result.92",92,237,45,782
"result.93",93,153,50,774
"result.94",94,213,50,780
"result.95",95,276,61,784
"result.96",96,182,54,774
"result.97",97,216,40,779
"result.98",98,311,43,779
"result.99",99,161,54,780
"result.100",100,256,38,782
"result.101",101,314,58,784
"result.102",102,218,58,784
"result.103",103,303,53,771
"result.104",104,328,47,784
"result.105",105,310,50,784
"result.106",106,251,46,784
"result.107",107,172,42,782
"result.108",108,164,43,781
"result.109",109,256,46,754
"result.110",110,230,49,784
"result.111",111,198,58,780
"result.112",112,260,60,784
"result.113",113,272,49,783
"result.114",114,181,50,780
"result.115",115,178,49,783
"result.116",116,295,40,783
"result.117",117,224,52,783
"result.118",118,497,45,783
"result.119",119,182,40,777
"result.120",120,385,47,781
"result.121",121,227,55,783
"result.122",122,201,55,778
"result.123",123,216,50,784
"result.124",124,326,65,784
"result.125",125,337,46,784
"result.126",126,236,55,782
"result.127",127,183,44,770
"result.128",128,239,46,777
"result.129",129,332,62,784
"result.130",130,301,53,779
"result.131",131,345,55,784
"result.132",132,300,49,784
"result.133",133,166,45,775
"result.134",134,431,53,779
"result.135",135,226,50,784
"result.136",136,310,59,784
"result.137",137,164,53,783
"result.138",138,251,51,782
"result.139",139,264,49,784
"result.140",140,504,71,776
"result.141",141,197,49,783
"result.142",142,275,54,778
"result.143",143,179,55,784
"result.144",144,144,43,783
"result.145",145,386,48,784
"result.146",146,365,54,775
"result.147",147,164,40,783
"result.148",148,501,53,731
"result.149",149,230,51,780
"result.150",150,499,48,778
"result.151",151,144,53,763
"result.152",152,212,38,781
"result.153",153,290,61,752
"result.154",154,160,46,780
"result.155",155,93,46,780
"result.156",156,203,50,782
"result.157",157,168,43,776
"result.158",158,313,38,782
"result.159",159,284,61,783
"result.160",160,189,42,781
"result.161",161,231,45,778
"result.162",162,278,34,784
"result.163",163,240,66,779
"result.164",164,178,47,734
"result.165",165,208,58,783
