"","V1","V2","V3","V4"
"result.1",1,501,38,771
"result.2",2,517,41,728
"result.3",3,504,45,765
"result.4",4,524,66,770
"result.5",5,518,49,784
"result.6",6,519,52,773
"result.7",7,504,48,745
"result.8",8,504,51,764
"result.9",9,522,43,779
"result.10",10,518,50,764
"result.11",11,523,43,784
"result.12",12,514,49,714
"result.13",13,512,70,774
"result.14",14,516,49,771
"result.15",15,509,52,782
"result.16",16,510,62,769
"result.17",17,501,46,782
"result.18",18,526,51,752
"result.19",19,514,40,750
"result.20",20,525,48,776
"result.21",21,517,56,775
"result.22",22,507,56,777
"result.23",23,504,44,772
"result.24",24,524,54,749
"result.25",25,514,50,778
"result.26",26,520,45,772
"result.27",27,512,72,778
"result.28",28,514,58,777
"result.29",29,516,45,784
"result.30",30,519,53,749
"result.31",31,521,51,781
"result.32",32,522,54,780
"result.33",33,510,52,765
"result.34",34,501,54,758
"result.35",35,509,44,777
"result.36",36,522,49,781
"result.37",37,539,63,765
"result.38",38,505,45,777
"result.39",39,521,51,758
"result.40",40,503,50,780
"result.41",41,517,47,783
"result.42",42,521,41,751
"result.43",43,511,49,773
"result.44",44,502,48,778
"result.45",45,507,36,771
"result.46",46,512,37,768
"result.47",47,527,56,781
"result.48",48,508,56,777
"result.49",49,512,41,698
"result.50",50,522,50,764
"result.51",51,503,50,774
"result.52",52,518,51,777
"result.53",53,503,63,783
"result.54",54,523,41,764
"result.55",55,503,49,778
"result.56",56,505,56,773
"result.57",57,519,59,781
"result.58",58,519,53,775
"result.59",59,511,53,775
"result.60",60,518,43,779
"result.61",61,526,55,780
"result.62",62,522,52,784
"result.63",63,507,46,772
"result.64",64,510,45,742
"result.65",65,515,56,765
"result.66",66,517,42,742
"result.67",67,514,50,779
"result.68",68,523,57,781
"result.69",69,504,49,784
"result.70",70,514,52,773
"result.71",71,516,50,771
"result.72",72,517,55,784
"result.73",73,507,48,763
"result.74",74,521,48,771
"result.75",75,501,52,780
"result.76",76,502,44,716
"result.77",77,517,57,739
"result.78",78,508,43,762
"result.79",79,506,48,780
"result.80",80,503,52,771
"result.81",81,513,55,757
"result.82",82,502,48,726
"result.83",83,522,36,781
"result.84",84,518,49,767
"result.85",85,524,39,743
"result.86",86,510,50,753
"result.87",87,501,59,775
"result.88",88,509,58,775
"result.89",89,505,62,782
"result.90",90,505,49,768
"result.91",91,504,64,748
"result.92",92,501,52,746
"result.93",93,510,56,783
"result.94",94,507,55,778
"result.95",95,507,56,775
"result.96",96,520,47,780
"result.97",97,511,50,783
"result.98",98,523,55,779
"result.99",99,518,54,768
"result.100",100,501,51,769
"result.101",101,518,53,782
"result.102",102,513,43,757
"result.103",103,511,60,779
"result.104",104,517,55,766
"result.105",105,512,54,776
"result.106",106,507,56,775
"result.107",107,501,61,778
"result.108",108,503,51,782
"result.109",109,526,41,782
"result.110",110,522,40,761
"result.111",111,505,45,776
"result.112",112,508,41,738
"result.113",113,502,50,773
"result.114",114,521,46,770
"result.115",115,515,37,763
"result.116",116,518,71,784
"result.117",117,501,36,734
"result.118",118,507,58,750
"result.119",119,512,55,779
"result.120",120,515,44,781
"result.121",121,511,40,765
"result.122",122,507,57,759
"result.123",123,511,58,782
"result.124",124,513,49,772
"result.125",125,516,58,750
"result.126",126,517,51,754
"result.127",127,517,51,776
"result.128",128,518,43,783
"result.129",129,518,57,763
"result.130",130,504,44,779
"result.131",131,521,53,775
"result.132",132,519,56,783
"result.133",133,503,44,767
"result.134",134,502,45,781
"result.135",135,520,54,772
"result.136",136,504,46,751
"result.137",137,516,50,773
"result.138",138,524,44,784
"result.139",139,512,45,773
"result.140",140,504,50,723
"result.141",141,520,55,763
"result.142",142,511,41,783
"result.143",143,520,59,778
"result.144",144,523,67,781
"result.145",145,520,51,780
"result.146",146,516,43,780
"result.147",147,520,53,760
"result.148",148,513,56,762
"result.149",149,528,42,765
"result.150",150,513,48,783
"result.151",151,514,45,674
"result.152",152,517,44,776
"result.153",153,526,42,762
"result.154",154,520,39,781
"result.155",155,507,41,779
"result.156",156,513,61,784
"result.157",157,517,56,783
"result.158",158,506,48,782
"result.159",159,513,60,771
"result.160",160,507,53,744
"result.161",161,525,45,782
"result.162",162,515,62,768
"result.163",163,526,62,775
"result.164",164,505,45,765
"result.165",165,511,65,781
"result.166",166,510,59,783
"result.167",167,501,49,784
"result.168",168,522,48,731
"result.169",169,509,51,781
"result.170",170,511,53,777
"result.171",171,514,43,774
"result.172",172,510,66,749
"result.173",173,516,50,784
"result.174",174,515,45,758
"result.175",175,504,57,782
"result.176",176,501,54,779
"result.177",177,524,51,784
"result.178",178,515,44,783
"result.179",179,512,47,718
"result.180",180,501,45,775
"result.181",181,510,50,777
"result.182",182,515,41,718
"result.183",183,502,51,776
"result.184",184,503,58,779
"result.185",185,523,45,777
"result.186",186,501,68,778
"result.187",187,506,37,728
"result.188",188,508,47,777
"result.189",189,509,52,750
"result.190",190,523,59,780
"result.191",191,536,63,769
"result.192",192,503,58,778
"result.193",193,510,42,783
"result.194",194,525,55,780
"result.195",195,521,45,781
"result.196",196,515,53,780
"result.197",197,514,55,773
"result.198",198,514,42,784
"result.199",199,507,52,779
"result.200",200,519,60,770
"result.201",201,508,51,779
"result.202",202,516,38,782
"result.203",203,519,41,770
"result.204",204,514,42,757
"result.205",205,508,50,778
"result.206",206,503,42,750
"result.207",207,521,55,784
"result.208",208,509,46,777
"result.209",209,505,39,777
"result.210",210,525,41,754
"result.211",211,517,47,780
"result.212",212,501,50,784
"result.213",213,508,45,772
"result.214",214,512,46,776
"result.215",215,508,54,781
"result.216",216,507,40,766
"result.217",217,523,49,784
"result.218",218,525,50,777
"result.219",219,515,47,774
"result.220",220,515,47,691
"result.221",221,510,50,762
"result.222",222,514,48,779
"result.223",223,509,44,784
"result.224",224,518,57,769
"result.225",225,520,54,775
"result.226",226,516,55,745
"result.227",227,514,60,784
"result.228",228,526,52,784
"result.229",229,512,59,754
"result.230",230,513,54,755
"result.231",231,511,52,754
"result.232",232,515,64,784
"result.233",233,521,48,766
"result.234",234,507,54,776
"result.235",235,504,50,765
"result.236",236,525,39,753
"result.237",237,516,56,784
"result.238",238,516,57,751
"result.239",239,519,60,776
"result.240",240,511,49,783
"result.241",241,527,51,765
"result.242",242,516,45,774
"result.243",243,515,48,783
"result.244",244,501,50,779
"result.245",245,514,45,767
"result.246",246,502,47,780
"result.247",247,502,52,784
"result.248",248,509,40,779
"result.249",249,502,49,776
"result.250",250,502,39,780
"result.251",251,507,44,756
"result.252",252,506,53,783
"result.253",253,503,43,771
"result.254",254,519,50,781
"result.255",255,505,57,782
"result.256",256,518,52,776
"result.257",257,506,45,736
"result.258",258,514,48,764
"result.259",259,504,47,784
"result.260",260,519,44,773
"result.261",261,508,41,781
"result.262",262,514,55,768
